state,downstream_hazard_potential,incident_driver,owner_type,dam_type,primary_purpose_s,eap,dam_height,max_storage_ac_ft,surface_area_acres,year_completed,latitude,longitude,year_modified,incident_date_year,incident_date_month,incident_date_day,incident_time_year,incident_time_month,incident_time_day,incident_time_hour,number_of_people_evacuated,number_of_habitable_structures_evacuated,number_of_habitable_structures_flooded,volume_released_at_failure_ac_ft,incident_duration
18,4,0,6,0,1,1,35,600,33,1858,41.4319,-74.5958,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,0,0,1,0,0,0,35,300,16,1960,32.4814,-100.595,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
9,1,0,7,0,0,1,17,5446,0,-1,35.381,-78.085,-1,1970,1,1,1970,1,1,0,1,1,1,1,1
6,3,5,3,0,7,3,12,53,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
1,0,0,1,0,1,2,9,90,14,1949,34.7583,-79.79,-1,1970,1,1,1970,1,1,0,0,0,0,1,8
1,0,0,1,0,1,1,11,147,26,1946,33.9583,-80.755,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
0,0,3,1,0,1,0,14,280,0,-1,30.8412,-89.0682,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
3,1,2,0,0,46,2,43,1155,62,1970,38.9693,-108.294,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
1,0,0,1,0,1,1,12,63,9,1972,34.5283,-79.435,-1,1970,1,1,1970,1,1,0,0,0,0,1,8
28,4,3,1,0,1,1,34,124,5,1950,39.1111,-84.2311,-1,1970,1,1,1970,1,1,0,1,1,1,1,2
24,3,0,3,2,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
33,4,0,0,0,0,0,20,16,2,1860,44.1054,-72.4298,-1,1970,1,1,1970,1,1,0,0,0,0,34,0
5,3,0,2,11,7,0,6,13777,1740,1930,44.11,-94.5663,1986,1970,1,1,1970,1,1,0,0,0,0,1,1
6,0,5,1,0,27,0,16,130,13,1957,30.9274,-95.382,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
14,0,0,3,0,7,3,10,-1,0,1939,0,0,-1,1970,1,1,1970,1,1,0,0,1,0,3,0
2,1,1,1,0,1,1,38,83,6,1978,37.9924,-90.3557,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,1,2,1,0,1,1,17,214,15,1900,32.5574,-94.3443,2006,1970,1,1,1970,1,1,0,1,1,1,1,0
38,3,5,3,0,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,12,1,1,1,0
6,4,0,1,1,0,0,18,63,8,-1,32.4811,-95.4058,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,0,5,2,0,0,0,24,135,0,1932,30.7408,-95.4748,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
39,3,5,3,2,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
25,4,0,1,0,2,1,33,60,3,1940,48.3139,-120.002,1992,1970,1,1,1970,1,1,0,0,0,0,1,0
27,1,0,0,0,9,2,32,7588,300,1963,33.2804,-84.3744,1983,1970,1,1,1970,1,1,0,1,9,0,1,0
27,1,0,0,0,9,2,32,7588,300,1963,33.2804,-84.3744,1983,1970,1,1,1970,1,1,0,5,6,3,1,0
6,4,0,1,0,1,2,17,68,0,-1,30.7407,-94.4424,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,4,0,1,0,1,2,17,68,0,1800,30.7407,-94.4424,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
23,1,0,2,11,22,1,14,1434,24,1912,38.6793,-75.594,2002,1970,1,1,1970,1,1,0,0,1,0,3,0
40,4,8,1,0,8,0,28,42.5,4,1981,44.884,-122.709,-1,1970,1,1,1970,1,1,0,13,0,0,1,0
17,1,0,0,4,1,2,8,-1,38,1910,41.0728,-74.586,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,4,0,1,0,1,0,21,400,0,1940,30.6646,-95.563,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
6,4,3,1,0,1,1,21,400,0,1940,30.6646,-95.563,-1,1970,1,1,1970,1,1,0,14,1,0,1,0
18,1,0,1,2,16,2,35,330,27,1944,42.5972,-74.0125,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
17,4,2,1,4,1,2,10,-1,45,1926,41.019,-74.363,-1,1970,1,1,1970,1,1,0,0,1,1,1,0
0,0,2,1,0,1,0,17,287,24,1999,31.4153,-89.52,-1,1970,1,1,1970,1,1,0,0,1,0,1,0
2,0,2,1,0,1,1,50,1750,46,1968,38.7593,-91.9629,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
41,1,3,1,0,9,1,56,10200,0,1946,65.5933,-148.392,-1,1970,1,1,1970,1,1,0,0,0,0,1,19
41,1,8,1,0,9,1,56,10200,0,1946,65.5933,-148.392,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
18,4,6,1,10,26,2,35,405,239,1923,44.6177,-75.4048,1993,1970,1,1,1970,1,1,0,0,1,0,1,0
8,0,0,2,0,20,0,18,824,32,1933,43.2317,-100.415,1959,1970,1,1,1970,1,1,0,1,1,1,1,0
7,1,1,1,0,1,2,135,7750,139,1973,39.1525,-84.8472,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
7,1,1,1,0,1,1,135,7750,139,1973,39.1547,-84.8364,-1,1970,1,1,1970,1,1,0,0,1,1,3,0
5,0,0,2,17,47,0,9,50,0,1958,44.5756,-93.9924,-1,1970,1,1,1970,1,1,0,0,0,0,1,24
6,0,0,1,0,1,0,17,412,50,1919,32.9408,-94.9858,2007,1970,1,1,1970,1,1,0,1,1,1,1,0
6,4,0,1,0,1,2,12,75,4,1925,32.5065,-94.6162,1989,1970,1,1,1970,1,1,0,1,1,1,1,0
6,4,5,1,0,1,2,20,150,16,1956,32.5014,-94.6182,-1,1970,1,1,1970,1,1,0,0,1,0,1,0
19,1,0,0,4,1,2,25,430,42,1854,43.6487,-90.3374,1967,1970,1,1,1970,1,1,0,1,1,1,1,1
0,0,2,3,0,1,4,1,-1,0,-1,32.3631,-90.3247,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
6,0,1,0,29,8,0,13,700,0,1911,28.3016,-99.1397,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
0,0,0,1,0,1,0,18,165,0,1960,32.1894,-90.3943,-1,1970,1,1,1970,1,1,0,0,0,0,35,25
6,0,3,0,0,1,0,23,450,37,1902,33.6029,-95.9054,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
18,4,0,1,0,1,2,25,103,10,1950,42.8557,-73.3452,-1,1970,1,1,1970,1,1,0,1,1,1,1,15
19,0,3,2,33,0,2,12,20000,2500,1930,43.4462,-88.6311,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
28,4,1,1,0,0,2,60,2012,27,1952,39.7339,-81.7328,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
9,1,0,1,0,1,2,9,307.5,0,-1,35.1869,-78.3762,-1,1970,1,1,1970,1,1,0,1,1,1,1,1
23,1,0,2,11,22,1,9,169,20,1958,38.8406,-75.4343,-1,1970,1,1,1970,1,1,0,0,1,0,3,0
19,0,0,0,4,1,1,19,200,33,1871,44.5252,-90.892,1936,1970,1,1,1970,1,1,0,1,1,1,1,0
16,3,5,3,2,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
11,0,0,1,0,0,3,13,-1,0,-1,41.1754,-75.5554,-1,1970,1,1,1970,1,1,0,0,1,1,1,6
11,0,0,1,34,0,3,13,-1,0,-1,41.1754,-75.5542,-1,1970,1,1,1970,1,1,0,0,1,1,1,6
6,4,0,3,0,1,3,20,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,0,1,0,36,0
6,0,0,1,0,1,0,24,87,0,1968,30.3527,-97.9867,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
18,0,0,0,1,1,1,12,95,10,1912,42.7214,-73.6728,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
3,0,0,3,2,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
7,4,0,3,0,1,3,20,-1,0,1979,40,-86,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,0,5,1,0,1,0,28,386,20,1960,30.8833,-95.6106,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
18,4,0,8,0,9,2,23,728,52,1958,41.2367,-74.2083,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
11,1,2,0,0,9,2,40,92,5,1890,40.2406,-75.8181,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
19,0,4,0,17,1,2,13,107000,10460,1932,42.8034,-89.0891,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
5,4,0,1,0,48,0,55,14500,1800,1976,47.6025,-92.4607,-1,1970,1,1,1970,1,1,0,0,0,0,37,26
28,0,3,1,0,0,1,38,46.8,3,-1,39.8589,-81.7375,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
37,4,1,1,0,12,1,29,70,54,-1,32.4843,-103.792,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
37,4,2,1,0,12,1,29,70,54,-1,32.4843,-103.792,-1,1970,1,1,1970,1,1,0,0,0,0,1,2
37,0,2,1,0,12,0,68,2078,128,1978,32.4836,-103.927,-1,1970,1,1,1970,1,1,0,0,0,0,38,1
27,0,5,1,0,1,0,27,292.5,21,1960,33.4006,-84.1161,-1,1970,1,1,1970,1,1,0,0,0,0,39,1
27,0,2,1,0,1,0,27,292.5,21,1960,33.4006,-84.1161,-1,1970,1,1,1970,1,1,0,0,0,0,40,0
28,4,3,1,0,1,2,12,139,20,-1,39.4472,-84.6883,-1,1970,1,1,1970,1,1,0,0,0,0,1,15
4,1,2,3,2,7,1,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
3,0,2,7,0,10,2,17,1007,82,1928,39.2717,-106.509,1971,1970,1,1,1970,1,1,0,1,1,1,1,0
4,2,0,5,0,1,1,20,174,0,-1,37.4758,-77.6294,-1,1970,1,1,1970,1,1,0,5,6,1,1,0
0,0,3,1,0,1,0,15,226,23,1998,32.5909,-89.929,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
27,0,3,1,0,8,0,31,1390,65,1977,32.6317,-81.7694,-1,1970,1,1,1970,1,1,0,0,1,0,1,0
6,0,0,1,0,1,0,20,206,13,1967,30.0095,-97.7982,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
19,0,0,1,0,49,1,30,38,0,0,44.1781,-91.5353,0,1970,1,1,1970,1,1,0,0,0,0,1,0
6,0,0,1,0,27,0,19,53,6,1967,29.7143,-98.6722,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
22,0,2,1,0,15,2,20,300,30,-1,40.0905,-116.266,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
6,0,3,1,0,50,0,30,1500,88,1953,32.0231,-95.7178,2012,1970,1,1,1970,1,1,0,1,1,1,1,0
3,1,2,0,0,9,2,33,3417,126,1951,39.4506,-105.863,-1,1970,1,1,1970,1,1,0,1,1,1,1,2
0,0,0,1,0,1,4,1,-1,4,-1,31.8278,-89.4628,-1,1970,1,1,1970,1,1,0,0,0,0,41,1
0,0,0,1,0,1,4,1,-1,4,-1,31.8292,-89.4622,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
6,4,2,1,0,7,1,15,66,11,1945,33.1813,-95.0011,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
30,3,5,3,2,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
5,0,5,1,0,5,0,12,63,0,1966,46.1815,-94.65,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
18,1,0,1,10,26,2,39,6430,450,1909,42.9197,-73.5084,1989,1970,1,1,1970,1,1,0,1,1,1,1,0
3,1,4,0,0,9,2,16,258,34,1953,40.3375,-104.959,-1,1970,1,1,1970,1,1,0,0,0,0,1,2
8,1,5,2,0,1,2,21,1260,101,1938,44.4783,-98.9467,2000,1970,1,1,1970,1,1,0,3,2,2,1,0
0,0,0,1,0,1,4,1,-1,0,-1,0,-90.1275,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
18,4,2,1,9,1,2,10,37,11,1986,41.4511,-73.8672,-1,1970,1,1,1970,1,1,0,0,0,0,1,27
1,4,0,1,0,1,2,19,88,10,1956,34.423,-79.9951,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
6,4,0,0,0,7,2,20,49,7,1800,29.884,-98.8188,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,4,0,0,0,7,2,36,39,1,1800,29.8839,-98.8085,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
42,1,4,1,0,8,3,42,-1,0,1890,0,0,1912,1970,1,1,1970,1,1,0,1,1,1,1,0
2,1,2,1,0,51,2,45,273,14,1905,38.6985,-91.888,1987,1970,1,1,1970,1,1,0,1,1,1,1,0
11,1,2,0,0,9,2,68,413,19,1896,40.7653,-76.2192,-1,1970,1,1,1970,1,1,0,0,0,0,1,5
19,4,2,4,2,52,2,22,1300,234,1931,44.2817,-88.2717,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
4,2,3,1,0,8,1,10,251,0,1960,37.3695,-75.9825,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
27,1,5,1,0,1,1,38,410,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,42,0
6,0,0,1,0,46,0,20,76,8,1965,32.3856,-99.0237,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
17,0,0,3,2,1,3,6,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,0,1,1,3,0
6,4,0,0,35,17,2,21,2499,106,1980,30.0535,-99.165,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
11,0,0,1,0,9,3,45,-1,0,1912,41.3251,-78.3743,-1,1970,1,1,1970,1,1,0,0,0,0,43,7
7,1,2,1,0,1,1,22,179,7,1973,39.9464,-86.1056,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
36,0,2,1,0,8,0,24,2449,230,1922,41.5933,-106.063,-1,1970,1,1,1970,1,1,0,0,0,0,44,28
30,3,5,3,0,12,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
28,4,0,1,0,1,2,23,145.4,9,-1,41.4494,-80.58,-1,1970,1,1,1970,1,1,0,15,10,0,45,0
0,0,3,3,0,3,4,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
2,1,1,1,0,1,1,41,99,10,1971,37.9112,-90.6271,1997,1970,1,1,1970,1,1,0,0,1,0,1,0
2,1,1,0,0,1,1,72,2475,51,1979,37.8974,-90.6434,1995,1970,1,1,1970,1,1,0,1,1,1,1,0
18,0,0,0,2,1,1,15,6110,360,1950,43.7983,-74.23,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
2,3,2,3,2,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
3,1,2,1,0,2,2,42,562,20,1912,39.3033,-107.117,1953,1970,1,1,1970,1,1,0,1,1,1,1,0
16,1,8,0,36,9,2,40,750,25,1910,39.3192,-76.6688,1910,1970,1,1,1970,1,1,0,0,0,0,1,29
43,0,0,2,26,53,0,41,486,33,1940,35.2817,-92.285,-1,1970,1,1,1970,1,1,0,5,6,3,1,30
2,1,1,2,0,1,1,46,377,19,1961,37.4519,-89.4883,1991,1970,1,1,1970,1,1,0,1,1,1,1,0
28,1,0,0,0,1,2,16,133,13,1930,41.23,-81.81,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
0,1,0,1,0,1,2,35,2530,178,1954,32.4676,-90.2262,2005,1970,1,1,1970,1,1,0,0,0,0,1,0
0,1,0,1,0,1,2,35,2530,178,1954,32.4676,-90.2262,2005,1970,1,1,1970,1,1,0,0,0,0,1,0
6,4,5,0,0,9,2,17,1825,93,1953,31.7383,-94.16,1993,1970,1,1,1970,1,1,0,1,1,1,1,0
6,0,2,0,0,1,2,24,700,88,1965,30.6738,-94.4014,2004,1970,1,1,1970,1,1,0,1,1,1,1,0
6,0,0,0,0,1,2,24,700,88,1965,30.6738,-94.4014,2004,1970,1,1,1970,1,1,0,1,1,1,1,0
18,4,0,2,2,1,2,25,373,37,1924,41.2761,-74.1142,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
0,0,2,2,0,1,0,20,990,96,-1,31.1833,-89.7383,-1,1970,1,1,1970,1,1,0,1,0,0,1,0
6,0,5,1,0,50,0,20,280,23,1965,30.5168,-94.8099,1988,1970,1,1,1970,1,1,0,1,1,1,1,0
8,1,0,0,0,1,2,32,2020,116,1939,43.41,-98.2983,1986,1970,1,1,1970,1,1,0,3,2,2,1,0
7,3,0,3,0,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
1,0,0,0,0,1,0,15,146,20,1957,34.4573,-79.8804,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
25,3,0,3,0,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,4,0,1,0,1,2,24,1187,0,1925,32.7332,-99.1085,1982,1970,1,1,1970,1,1,0,1,1,1,1,0
6,4,0,1,0,1,2,27,396,25,1971,32.7131,-94.5612,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
20,4,5,1,17,1,0,55,9920,440,1922,42.4081,-91.3454,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
20,4,5,1,17,1,0,55,9920,440,1922,42.4081,-91.3454,-1,1970,1,1,1970,1,1,0,16,1,9,46,0
19,3,5,3,2,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,0,0,1,0,1,0,22,664,60,1965,31.8441,-95.4949,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,0,0,1,0,1,0,21,145,5,1963,30.6864,-94.756,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,0,0,1,0,1,0,21,145,5,1963,30.6864,-94.756,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,1,5,1,0,1,1,26,65,3,1963,30.6944,-94.74,1983,1970,1,1,1970,1,1,0,1,1,1,1,0
6,1,0,1,0,1,1,26,65,3,1963,30.6944,-94.74,1983,1970,1,1,1970,1,1,0,1,1,1,1,0
6,1,5,2,0,21,2,41,14330,410,1928,29.654,-98.0663,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,1,6,2,0,21,2,41,14330,410,1928,29.654,-98.0663,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,4,0,1,0,8,2,35,2215,124,1926,31.8528,-98.6182,1988,1970,1,1,1970,1,1,0,1,1,1,1,0
43,1,0,2,0,1,1,46,2050,125,1952,36.1983,-94.2183,-1,1970,1,1,1970,1,1,0,5,6,3,1,2
43,1,0,2,0,1,1,46,2050,125,1952,36.1983,-94.2183,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
27,2,3,1,0,1,0,25,25,2,-1,33.5656,-84.4239,-1,1970,1,1,1970,1,1,0,5,6,3,1,0
2,3,0,3,0,7,3,30,-1,0,-1,39,93,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,0,0,1,0,1,0,23,83,15,1969,30.8569,-95.4225,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
28,4,3,1,0,1,2,21,58,2,-1,41.2875,-81.4819,-1,1970,1,1,1970,1,1,0,1,1,1,1,3
28,4,3,1,0,1,2,21,58,2,-1,41.2875,-81.4819,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,1,5,0,0,1,1,40,2792,90,1939,36.2201,-100.64,1957,1970,1,1,1970,1,1,0,1,1,1,1,0
6,4,0,0,0,1,2,11,730,0,1958,30.6745,-94.4206,2009,1970,1,1,1970,1,1,0,1,1,1,1,0
0,0,1,1,0,1,0,39,340,29,2002,31.7061,-88.9683,-1,1970,1,1,1970,1,1,0,0,1,0,47,0
6,0,5,1,0,2,0,19,1365,84,1982,32.763,-95.2558,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,4,0,0,0,9,2,49,14400,649,1921,32.0764,-96.4058,1994,1970,1,1,1970,1,1,0,1,1,1,1,0
6,4,0,0,0,9,2,49,14400,649,1921,32.0764,-96.4058,1994,1970,1,1,1970,1,1,0,1,1,1,1,0
8,0,0,2,0,1,0,24,340,0,1932,43.625,-97.805,1996,1970,1,1,1970,1,1,0,3,2,2,1,0
8,0,0,2,0,1,0,24,340,0,1932,43.625,-97.805,1996,1970,1,1,1970,1,1,0,3,2,2,1,0
17,0,0,3,0,1,3,10,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,0,1,1,3,0
28,0,3,1,0,1,1,22,113,13,1960,41.42,-82.29,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
0,1,3,0,0,1,2,25,390,26,1925,31.8667,-90.4033,-1,1970,1,1,1970,1,1,0,0,1,0,3,0
8,0,0,2,0,1,0,27,474,27,1926,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
28,4,4,2,0,1,2,34,2461,130,1939,39.32,-82.3564,-1,1970,1,1,1970,1,1,0,0,8,4,1,3
6,4,2,1,0,1,2,19,218,10,1958,30.6855,-94.3998,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,4,0,1,0,1,0,22,45,5,1971,30.0009,-96.9606,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
16,0,0,2,37,1,0,35,43,3,1936,39.6374,-78.3048,1936,1970,1,1,1970,1,1,0,1,1,1,1,0
6,0,0,1,0,50,0,12,63,8,1963,30.7087,-94.8888,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
3,4,8,2,0,22,2,27,16128,612,1957,40.7672,-106.462,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
28,4,4,2,0,1,2,29,560,52,1945,39.085,-82.6733,-1,1970,1,1,1970,1,1,0,0,0,0,1,1
6,0,5,1,0,1,0,23,500,119,1964,30.511,-94.4396,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,0,3,1,0,1,0,23,500,119,1964,30.511,-94.4396,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
2,1,1,1,2,7,2,90,103,19,1999,38.7625,-91.0742,1998,1970,1,1,1970,1,1,0,1,1,1,1,0
11,1,2,1,0,46,3,52,-1,0,-1,39.5147,-76.5139,-1,1970,1,1,1970,1,1,0,0,1,1,1,0
17,1,8,0,4,1,2,29,6610,300,1879,39.4548,-74.7353,-1,1970,1,1,1970,1,1,0,0,1,1,1,0
6,1,0,0,0,54,1,90,72250,1590,1954,32.3627,-98.6756,1987,1970,1,1,1970,1,1,0,1,1,1,1,0
6,1,0,7,2,7,2,90,1750000,83000,1969,30.625,-95.0265,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
6,1,0,1,0,1,1,23,905,53,1966,30.5595,-94.8821,2009,1970,1,1,1970,1,1,0,1,1,1,1,0
6,0,3,1,0,1,0,24,196,25,1963,30.3699,-95.6297,-1,1970,1,1,1970,1,1,0,0,1,0,1,0
28,1,0,1,0,0,2,30,160,15,1922,41.3989,-81.3458,-1,1970,1,1,1970,1,1,0,0,0,0,1,1
16,0,8,1,0,1,0,50,113,3,1973,39.4172,-77.3268,2003,1970,1,1,1970,1,1,0,1,1,1,1,31
6,0,0,1,0,1,0,23,290,10,1964,30.6749,-94.7424,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,0,0,1,0,1,0,23,290,10,1964,30.6749,-94.7424,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,0,1,1,0,1,0,28,370,21,1945,31.6945,-95.5461,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
11,1,2,0,0,1,2,22,271,24,1967,39.7414,-77.3719,2010,1970,1,1,1970,1,1,0,0,1,1,1,0
6,0,1,1,0,27,0,35,355,25,1963,32.585,-98.3183,-1,1970,1,1,1970,1,1,0,0,1,0,3,0
28,1,8,2,0,1,2,53,46605,1780,1916,41.1272,-80.9778,-1,1970,1,1,1970,1,1,0,0,0,0,1,1
16,0,5,1,0,1,0,10,26,0,1924,39.4563,-79.4648,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
4,1,3,1,0,1,2,41,607,25,-1,38.2694,-77.2068,-1,1970,1,1,1970,1,1,0,1,11,0,1,0
4,1,3,1,0,1,2,41,607,25,-1,38.2694,-77.2068,-1,1970,1,1,1970,1,1,0,5,11,0,1,0
28,1,0,1,0,0,2,25,58,5,-1,39.1333,-84.09,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
18,0,2,0,0,1,0,17,1093,62,1977,43.1141,-74.0097,-1,1970,1,1,1970,1,1,0,1,1,1,1,15
16,1,2,0,0,55,2,65,7023,74,1965,39.114,-77.1295,2007,1970,1,1,1970,1,1,0,1,1,1,1,0
17,4,0,0,0,1,2,22,143,13,1927,41.2145,-74.6257,-1,1970,1,1,1970,1,1,0,0,1,0,1,0
41,3,2,3,2,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,0,0,1,0,1,0,16,191,12,1957,32.6475,-95.2786,2008,1970,1,1,1970,1,1,0,1,1,1,1,0
1,4,0,1,0,1,2,15,560,80,1955,34.1717,-79.8783,-1,1970,1,1,1970,1,1,0,0,0,0,1,4
2,1,1,1,0,1,1,37,1143,73,1960,37.2506,-90.0281,1993,1970,1,1,1970,1,1,0,0,1,0,1,0
6,0,0,1,0,7,0,28,550,30,1956,31.1743,-95.1855,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
11,1,0,1,0,1,2,6,18,3,1910,40.1531,-76.5894,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
11,4,0,1,0,7,3,13,-1,0,-1,40.5434,-75.0803,-1,1970,1,1,1970,1,1,0,0,1,1,3,7
4,1,3,3,2,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
11,1,0,1,8,1,2,12,1244,118,1946,41.5081,-75.4261,-1,1970,1,1,1970,1,1,0,0,0,3,6,0
11,1,0,1,8,1,2,12,1244,118,1946,41.5081,-75.4261,-1,1970,1,1,1970,1,1,0,0,0,0,48,32
19,1,1,0,4,1,2,50,15200,612,1967,43.5867,-90.0871,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
27,1,0,1,0,1,1,33,1579,75,1961,33.7042,-83.9797,-1,1970,1,1,1970,1,1,0,5,6,3,1,0
6,0,0,1,0,27,0,23,300,26,1935,32.1947,-94.6472,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
0,1,3,1,0,1,2,28,1803,135,1968,31.3167,-89.4322,1992,1970,1,1,1970,1,1,0,0,1,0,1,0
0,1,3,1,0,1,2,24,1037,68,1969,31.2931,-89.4333,-1,1970,1,1,1970,1,1,0,0,1,0,1,0
17,4,0,1,4,1,2,9,376,79,-1,40.9698,-74.5972,-1,1970,1,1,1970,1,1,0,0,1,0,1,0
11,1,0,1,38,1,2,10,834,63,1872,41.5953,-75.7664,-1,1970,1,1,1970,1,1,0,0,1,1,1,0
4,3,0,3,2,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
0,1,0,1,0,1,2,20,46,5,1985,34.4079,-89.5555,-1,1970,1,1,1970,1,1,0,17,9,0,1,0
27,0,2,1,0,1,0,16,3054,285,1959,32.8994,-83.2869,-1,1970,1,1,1970,1,1,0,0,0,0,49,1
27,0,3,1,0,1,0,16,3054,285,1959,32.8994,-83.2869,-1,1970,1,1,1970,1,1,0,0,0,0,49,1
0,1,2,1,0,1,2,33,650,0,1954,33.0956,-89.0728,2010,1970,1,1,1970,1,1,0,1,0,0,3,0
