state,downstream_hazard_potential,incident_date,incident_driver,incident_mechanism_1,incident_mechanism_2,incident_mechanism_3,eap_enacted_y_n_due_to_incident,owner_type,dam_type,primary_purpose_s,eap,dam_height,max_storage_ac_ft,surface_area_acres,year_completed,latitude,longitude,year_modified,incident_time,incident_duration,incident_report_produced
IN,H,7/14/2015,Hydrologic/Flooding,High Reservoir Level,-1,-1,Yes,L,CN,C,Y,92 ft,110000.0,1350,1967,39.825,-86.3075,-1,-1,-1,-1
TX,H,12/1/1967,Structural Stability,Slope Stability,-1,-1,-1,S,RE,IS,Y,85 ft,680335.0,6160,1932,32.8739,-97.461,-1,-1,-1,-1
NM,H,12/23/2016,Seismic,Unknown,-1,-1,No,S,VA,I,Y,149 ft,98000.0,2768,1918,36.5318,-105.23,-1,19:31,1 day,Yes
IN,-1,6/1/2008,Unknown,Spillway Deficiency,-1,-1,No,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
TX,H,5/30/2015,Hydrologic/Flooding,Spillway Deficiency,-1,-1,-1,L,RE,CRP,Y,43 ft,778.0,14,1952,33.3184,-96.6792,-1,-1,-1,-1
TX,S,9/27/1996,Hydrologic/Flooding,Overtopping,-1,-1,-1,P,RE,ISR,Y,22 ft,327.0,19,1949,30.6995,-94.4207,1997,-1,-1,-1
OH,L,4/1/2015,Seepage/Internal Erosion,Piping,-1,-1,No,P,RE,O,N,29 ft,114.0,10,1930,40.3664,-83.6033,-1,-1,2 weeks,Yes
SD,L,9/11/2019,Hydrologic/Flooding,Spillway Erosion/Head Cutting,-1,-1,No,S,RE,CR,NR,41 ft,17400.0,294,1958,43.59,-97.1717,1994,-1,-1,-1
MS,H,8/24/2022,Hydrologic/Flooding,Debris Clogging,Overtopping,-1,N,P,RE,R,N,16 ft,57.0,6,-1,32.2844,-89.9745,-1,-1,-1,N
WI,L,10/7/2021,Malfunction of Equipment/Gate,Debris Clogging,Gate/Valve Failure,-1,No,L,PGRE,R,Y,20 ft,305.0,24,1855,43.839,-89.8064,1909,-1,1 day,Yes
WA,-1,2/7/1932,Hydrologic/Flooding,Overtopping,-1,-1,No,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
CO,S,10/20/2020,Structural Stability,Cracking,-1,-1,No,S,RE,FR,Y,82 ft,3063.0,118,1969,37.2074,-107.0,-1,9:00 AM,1 month,Yes
NV,H,3/7/2019,Hydrologic/Flooding,Spillway Erosion/Head Cutting,-1,-1,No,S,RE,FR,Y,58 ft,1750.0,64,1970,37.9072,-114.272,-1,-1,2 days,-1
OH,S,6/8/2018,Hydrologic/Flooding,Overtopping,-1,-1,No,P,RE,R,N,22 ft,28.6,2,0,40.4894,-81.3272,-1,7-8 PM,less than 1 day,No
NY,L,8/28/2011,Hydrologic/Flooding,Unknown,-1,-1,No,P,MS,R,NR,12 ft,144.0,16,1880,41.2717,-74.1406,-1,-1,-1,-1
MI,H,5/19/2020,Hydrologic/Flooding,Slope Stability,High Reservoir Level,-1,Yes,P,PGRE,CH,Y,54 ft,66200.0,2600,1925,43.8142,-84.3769,-1,-1,-1,Yes
VA,L,10/23/2018,Unknown,Spillway Erosion/Head Cutting,-1,-1,-1,S,RE,R,N,28 ft,358.0,26,-1,36.7148,-78.6901,-1,-1,-1,-1
SC,H,9/12/2017,Hydrologic/Flooding,Insufficient Spillway Capacity,Accident or Misoperation,Other,No,P,RE,R,N,17 ft,316.0,40,1962,33.6301,-81.2444,-1,-1,-1,-1
WA,H,1/1/2019,Deterioration or Poor Condition,Spillway Pipe Failure,Insufficient Spillway Capacity,Reservoir Overfilling,Yes,U,ERRE,IR,Y,22 ft,1610.0,65,1933,47.5205,-120.858,-1,-1,10 Months,No
PA,L,6/26/2006,Hydrologic/Flooding,Overtopping,-1,-1,-1,P,RE,R,-1,11 ft,-1.0,0,-1,41.5226,-75.4716,-1,-1,3 DAYS,-1
NY,-1,1/1/1960,Unknown,Under Investigation,-1,-1,No,-1,-1,-1,-1,-1,-1.0,0,-1,1.0,1.0,-1,-1,-1,-1
TX,S,8/29/2017,Hydrologic/Flooding,Unknown,-1,-1,-1,P,RE,R,Y,12 ft,50.0,9,1927,30.7266,-94.448,-1,-1,-1,-1
TX,S,9/27/1996,Hydrologic/Flooding,Overtopping,-1,-1,-1,P,RE,R,Y,12 ft,50.0,9,1927,30.7266,-94.448,-1,-1,-1,-1
WI,H,9/8/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,PGRE,RS,N,14 ft,40.0,5,1877,44.5769,-91.4683,-1,-1,-1,-1
CO,H,6/16/2015,Hydrologic/Flooding,High Reservoir Level,-1,-1,Yes,U,CNVA,S,Y,151 ft,128000.0,3500,1932,38.905,-105.477,-1,-1,-1,-1
NY,L,8/28/2011,Hydrologic/Flooding,Overtopping,-1,-1,No,P,ERTC,R,N,23 ft,4200.0,525,1965,44.0225,-73.8308,-1,-1,-1,-1
KY,H,11/10/2012,Seismic,Cracking,-1,-1,No,L,PG,S,NR,40 ft,-1.0,16,1930,37.1683,-82.635,-1,-1,-1,-1
TX,H,5/18/2024,Hydrologic/Flooding,Spillway Chute Failure,-1,-1,Unknown,P,RE,IR,Y,31 ft,1766.0,85,1920,30.6569,-95.532,2002,-1,-1,Yes
SC,L,10/4/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,P,RE,R,N,7 ft,151.0,42,1830,34.0683,-80.5317,-1,-1,-1,-1
TX,L,5/30/2015,Hydrologic/Flooding,Spillway Deficiency,-1,-1,-1,LP,RE,C,NR,52 ft,1680.0,18,1954,33.6654,-97.4887,-1,-1,-1,-1
TX,L,5/30/2015,Hydrologic/Flooding,Spillway Deficiency,-1,-1,-1,LP,RE,C,NR,46 ft,641.0,10,1957,33.5915,-97.3537,-1,-1,-1,-1
TX,L,5/30/2015,Hydrologic/Flooding,Spillway Deficiency,-1,-1,-1,LP,RE,C,NR,50 ft,2424.0,45,1958,33.7018,-97.3634,-1,-1,-1,-1
TX,L,5/30/2015,Hydrologic/Flooding,Spillway Deficiency,-1,-1,-1,LP,RE,C,NR,50 ft,1498.0,12,1957,33.6781,-97.3411,-1,-1,-1,-1
TX,L,5/30/2015,Hydrologic/Flooding,Spillway Deficiency,-1,-1,-1,LP,RE,C,NR,44 ft,1628.0,32,1958,33.6553,-97.2839,-1,-1,-1,-1
TX,L,5/30/2015,Hydrologic/Flooding,Spillway Deficiency,-1,-1,-1,LP,RE,C,NR,45 ft,411.0,7,1959,33.6825,-97.3288,-1,-1,-1,-1
SD,H,7/24/2020,Hydrologic/Flooding,Spillway Chute Failure,Erosion,-1,No,S,RE,RS,Y,52 ft,28800.0,1150,1937,45.855,-98.705,2000,-1,-1,Yes
ND,S,4/25/2018,Hydrologic/Flooding,High Reservoir Level,-1,-1,Yes,L,RE,C,Y,25 ft,5187.6,48,1964,47.3098,-97.4647,-1,-1,-1,No
WI,-1,4/19/2023,Malfunction of Equipment/Gate,Gate/Valve Failure,-1,-1,No,-1,-1,-1,-1,0 ft,0.0,0,0,0.0,0.0,-1,-1,-1,-1
CO,L,9/16/2013,Hydrologic/Flooding,Unknown,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
CO,L,9/16/2013,Hydrologic/Flooding,Unknown,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
CO,H,6/11/2018,Seepage/Internal Erosion,Sinkhole,Piping,-1,Yes,P,RE,FIR,Y,37 ft,50900.0,2842,1905,40.2732,-104.189,-1,6:00 PM,-1,Yes
IA,L,11/20/2018,Seepage/Internal Erosion,Piping,Sliding,-1,No,L,RE,PC,NR,38 ft,32.0,2,1970,43.4418,-91.4662,-1,-1,-1,-1
IA,L,11/20/2018,Structural Stability,Piping,Slope Stability,-1,-1,L,RE,PC,NR,38 ft,32.0,2,1970,43.4418,-91.4662,-1,-1,-1,-1
NE,L,6/13/2010,Hydrologic/Flooding,Spillway Erosion/Head Cutting,-1,-1,No,P,RE,C,NR,35 ft,968.0,123,1916,41.7584,-98.6529,2004,-1,-1,-1
GA,H,2/22/2019,Hydrologic/Flooding,High Reservoir Level,-1,-1,No,S,RE,R,Y,48 ft,1691.0,46,1969,34.3153,-84.1964,-1,-1,-1,Unknown
NC,-1,1/1/2008,Seepage/Internal Erosion,Piping,-1,-1,No,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
SC,L,10/8/2016,Hydrologic/Flooding,Unknown,-1,-1,No,S,RE,I,N,18 ft,90.0,11,1964,34.295,-79.73,-1,-1,1 Day,No
PA,L,6/29/2006,Hydrologic/Flooding,Overtopping,Erosion,-1,-1,P,RE,PG,-1,10 ft,-1.0,0,-1,41.1024,-76.003,-1,-1,3 DAYS,-1
VA,H,8/15/2020,Hydrologic/Flooding,Overtopping,-1,-1,-1,L,CB,R,Y,34 ft,1511.0,92,-1,37.4618,-77.4655,-1,-1,-1,Yes
WV,U,1/1/2008,Unknown,Unknown,-1,-1,No,P,RE,O,N,31 ft,16.1,0,-1,39.4161,-80.1611,-1,-1,-1,-1
TX,L,5/30/2015,Hydrologic/Flooding,Spillway Deficiency,-1,-1,-1,LP,RE,CPFD,NR,36 ft,83.0,4,1975,33.6745,-97.6433,-1,-1,-1,-1
TX,L,5/30/2015,Hydrologic/Flooding,Spillway Deficiency,-1,-1,-1,LP,RE,CPFD,NR,41 ft,99.0,6,1975,33.68,-97.6461,-1,-1,-1,-1
VA,S,9/23/2011,Hydrologic/Flooding,Spillway Chute Failure,-1,-1,No,P,RE,R,N,22 ft,300.0,12,-1,37.2383,-78.42,-1,12:00 AM,-1,-1
PA,H,3/2/2009,Unknown,Spillway Chute Failure,-1,-1,No,P,RE,R,Y,44 ft,675.0,27,1972,40.5867,-76.19,2012,-1,-1,-1
MN,-1,9/24/1909,Unknown,Unknown,-1,-1,No,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
TN,L,5/2/2010,Hydrologic/Flooding,Spillway Erosion/Head Cutting,-1,-1,No,P,RE,-1,-1,-1,-1.0,0,1969,0.0,0.0,2012,-1,-1,-1
SC,H,5/1/2018,Deterioration or Poor Condition,Spillway Pipe Failure,Piping,Sinkhole,No,P,RE,R,Y,34 ft,715.0,55,1988,34.8867,-83.0442,-1,-1,-1,-1
WI,-1,1/1/2008,Hydrologic/Flooding,Overtopping,-1,-1,No,-1,RE,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
NC,S,11/28/2015,Deterioration or Poor Condition,Erosion,-1,-1,-1,P,RE,R,N,15 ft,469.0,0,1924,35.763,-77.997,-1,-1,-1,-1
OH,H,7/1/2014,Deterioration or Poor Condition,Spillway Pipe Failure,-1,-1,No,L,RE,S,Y,32 ft,19478.0,624,1971,41.01,-83.57,-1,-1,-1,-1
MO,H,1/5/2017,Deterioration or Poor Condition,Spillway Pipe Failure,-1,-1,No,S,RE,R,Y,44 ft,585.0,79,-1,39.0871,-92.3161,-1,-1,2 weeks,No
IN,-1,6/1/2008,Hydrologic/Flooding,Overtopping,-1,-1,No,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
CO,L,9/19/2013,Hydrologic/Flooding,Spillway Erosion/Head Cutting,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
PA,L,4/28/1994,Seepage/Internal Erosion,Erosion,-1,-1,Yes,P,RE,R,-1,39 ft,-1.0,0,1975,40.5436,-76.2218,-1,-1,1 DAY,Yes
OH,S,1/28/2019,Deterioration or Poor Condition,Spillway Riser Failure,-1,-1,No,P,RE,R,N,22 ft,79.0,6,1960,39.6167,-83.8867,-1,-1,-1,No
CO,S,9/19/2013,Hydrologic/Flooding,Overtopping,Slope Stability,Sinkhole,-1,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
VA,U,10/8/2016,Hydrologic/Flooding,Unknown,-1,-1,No,P,RE,R,N,14 ft,91.0,9,-1,36.8121,-77.7596,-1,-1,-1,-1
WI,-1,6/6/2023,Deterioration or Poor Condition,Excessive/Increased Seepage,-1,-1,No,-1,-1,-1,-1,0 ft,0.0,0,0,0.0,0.0,-1,-1,-1,-1
SC,S,10/8/2016,Hydrologic/Flooding,Unknown,-1,-1,No,P,RE,R,Y,11 ft,75.0,12,1957,34.3572,-79.2,-1,-1,1 Day,No
SC,L,10/8/2016,Hydrologic/Flooding,Unknown,-1,-1,No,P,RE,R,N,21 ft,68.0,6,1950,33.985,-79.5183,-1,-1,1 Day,No
SC,L,10/8/2016,Hydrologic/Flooding,Unknown,-1,-1,No,P,RE,D,N,15 ft,400.0,22,-1,34.3083,-80.2683,-1,-1,1 Day,No
MS,L,4/6/2021,Hydrologic/Flooding,Overtopping,Debris Clogging,Animal Activity,N,-1,-1,"R, F",No,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,N
WY,H,9/4/1965,Seepage/Internal Erosion,Piping,-1,-1,-1,F,RE,FHRS,Y,139 ft,405160.0,8058,1963,42.0286,-107.867,1989,7:00 PM,12 Days,Yes
NH,L,1/1/2021,Deterioration or Poor Condition,Spillway Riser Failure,Sinkhole,Excessive/Increased Seepage,-1,P,RE,R,NR,16 ft,134.0,16,1971,43.6097,-71.4888,-1,-1,-1,No
NC,H,7/7/2011,Deterioration or Poor Condition,Spillway Chute Failure,-1,-1,Yes,P,RE,R,Y,15 ft,60.0,0,-1,35.205,-80.719,-1,-1,-1,-1
NH,L,7/9/2023,Hydrologic/Flooding,Overtopping,-1,-1,No,P,REST,R,NR,8 ft,378.0,93,1925,42.7988,-72.3697,-1,22:00,1 Day,Yes
IN,H,7/14/2015,Hydrologic/Flooding,Spillway Deficiency,-1,-1,-1,P,RE,-1,N,19 ft,55.0,5,1965,39.755,-86.4083,-1,-1,-1,No
NH,L,7/18/2021,Hydrologic/Flooding,High Reservoir Level,Overtopping,Erosion,-1,P,REST,R,NR,8 ft,378.0,93,1925,42.7988,-72.3697,-1,-1,2 days,Yes
TX,S,8/29/2017,Hydrologic/Flooding,Unknown,-1,-1,-1,P,RE,R,Y,16 ft,148.6,10,1940,30.7871,-94.4087,1989,-1,-1,-1
PA,-1,7/5/1903,Hydrologic/Flooding,Overtopping,-1,-1,No,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
GA,H,1/1/2019,Hydrologic/Flooding,High Reservoir Level,-1,-1,No,S,RE,C,Y,49 ft,7460.0,263,1964,33.9621,-83.7246,-1,-1,-1,Unknown
OH,H,6/26/2012,Structural Stability,Slope Stability,-1,-1,Yes,L,RE,S,Y,36 ft,2900.0,129,1958,41.11,-83.44,-1,12:00 AM,-1,-1
MN,S,5/1/2020,Structural Stability,Foundation Deficiency,Sliding,Slope Stability,No,L,RE,O,Y,25 ft,560.0,32,2017,43.6959,-93.3798,-1,-1,-1,Yes
NY,L,3/10/2011,Seepage/Internal Erosion,Piping,-1,-1,No,P,RE,R,N,16 ft,200.0,21,1958,42.3106,-75.2375,-1,-1,-1,-1
IN,L,7/17/2013,Deterioration or Poor Condition,Spillway Pipe Failure,-1,-1,No,L,RE,R,N,22 ft,253.0,22,1958,39.3386,-87.3739,-1,-1,-1,-1
NE,L,1/1/2017,Deterioration or Poor Condition,Spillway Pipe Failure,-1,-1,No,P,RE,I,NR,11 ft,77.0,9,1951,42.9579,-100.916,-1,-1,-1,No
VA,U,9/16/2019,Deterioration or Poor Condition,Abutment Failure,Erosion,-1,-1,P,-1,-1,NR,30 ft,65.1,5,-1,37.2411,-76.7003,-1,-1,-1,Yes
TX,H,6/28/2007,Hydrologic/Flooding,Overtopping,-1,-1,-1,P,RE,-1,Y,25 ft,114.0,11,1964,30.6195,-97.8003,-1,-1,-1,-1
TX,H,9/8/2010,Hydrologic/Flooding,Overtopping,-1,-1,-1,P,RE,-1,Y,25 ft,114.0,11,1964,30.6195,-97.8003,-1,-1,-1,-1
SC,S,10/8/2016,Hydrologic/Flooding,Unknown,-1,-1,No,P,RE,R,Y,8 ft,518.0,144,1830,34.3933,-79.2383,-1,-1,1 Day,No
VA,U,6/22/2020,Structural Stability,Spillway Erosion/Head Cutting,-1,-1,-1,X,RE,OR,N,15 ft,150.0,27,-1,37.5877,-77.3021,-1,-1,-1,Yes
MD,L,6/25/2006,Hydrologic/Flooding,Overtopping,-1,-1,No,L,RE,RI,NR,9 ft,228.0,44,1972,38.5676,-75.7135,2008,-1,-1,-1
VA,L,10/15/2018,Unknown,Spillway Erosion/Head Cutting,-1,-1,No,P,RE,R,Y,16 ft,672.0,56,-1,37.9588,-76.7062,-1,-1,-1,-1
DE,H,8/28/2011,Hydrologic/Flooding,Overtopping,-1,-1,No,S,REPG,RF,N,11 ft,1164.0,86,1964,39.244,-75.5884,-1,12:00 AM,-1,-1
OH,-1,2/28/2011,Hydrologic/Flooding,Overtopping,-1,-1,No,-1,PG,R,-1,7 ft,-1.0,0,1903,41.0,81.0,-1,12:00 AM,-1,-1
MS,L,2/15/2016,Hydrologic/Flooding,Overtopping,-1,-1,-1,P,RE,R,NR,25 ft,125.0,0,-1,31.5167,-90.7083,-1,-1,-1,-1
CO,S,9/18/2013,Seepage/Internal Erosion,Piping,-1,-1,-1,L,RE,IR,Y,10 ft,840.0,70,-1,40.1225,-105.11,1960,-1,-1,-1
CO,S,11/28/2012,Seepage/Internal Erosion,Excessive/Increased Seepage,-1,-1,-1,L,RE,IR,Y,10 ft,840.0,70,-1,40.1225,-105.11,1960,-1,-1,-1
GA,L,1/1/2015,Hydrologic/Flooding,Spillway Chute Failure,-1,-1,-1,L,ER,R,NR,40 ft,4685.0,222,1962,33.7583,-84.6292,-1,-1,-1,-1
MA,S,10/15/2022,Deterioration or Poor Condition,Other,-1,-1,No,P,RE,R,N,13 ft,64.0,12,1970,42.4582,-73.0852,-1,-1,1 day,Investigation
OH,L,1/18/2012,Deterioration or Poor Condition,Other,-1,-1,No,-1,PG,S,-1,15 ft,-1.0,0,1938,0.0,0.0,-1,-1,-1,-1
SC,S,10/4/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,L,RE,R,Y,15 ft,240.0,28,1900,33.9683,-81.2433,-1,-1,-1,-1
NY,H,8/28/2011,Hydrologic/Flooding,High Reservoir Level,-1,-1,Yes,L,MSRE,S,Y,183 ft,95575.0,1159,1926,42.3911,-74.45,-1,-1,-1,-1
PA,S,6/26/2006,Hydrologic/Flooding,Overtopping,-1,-1,No,P,STRE,R,-1,10 ft,-1.0,0,-1,41.5043,-75.4333,-1,-1,3 DAYS,-1
NJ,H,1/28/2015,Seepage/Internal Erosion,Piping,-1,-1,No,P,PGRE,R,Y,12 ft,66.0,14,1922,41.0392,-74.6074,-1,-1,-1,-1
WI,H,12/15/2021,Deterioration or Poor Condition,Other,-1,-1,Yes,L,PG,RS,Y,37 ft,1000.0,45,1875,44.9569,-91.3998,1959,-1,1 day,Yes
NH,S,8/28/2011,Hydrologic/Flooding,Overtopping,-1,-1,Yes,P,CNPG,H,Y,16 ft,10.2,2,1988,43.635,-72.3043,-1,12:00 AM,-1,-1
IN,S,5/30/2011,Seepage/Internal Erosion,Piping,-1,-1,No,P,RE,R,N,14 ft,54.0,6,1945,40.5,-85.6708,-1,-1,-1,-1
VA,L,10/12/2018,Hydrologic/Flooding,Overtopping,Erosion,-1,No,S,RE,R,Y,32 ft,212.25,11,-1,37.1753,-78.2815,-1,-1,-1,-1
OH,H,3/5/2011,Hydrologic/Flooding,High Reservoir Level,-1,-1,Yes,U,CN,S,Y,57 ft,1149.0,34,1912,41.12,-81.49,-1,-1,-1,-1
NH,L,10/17/2013,Deterioration or Poor Condition,Spillway Chute Failure,-1,-1,-1,P,TCERRE,H,NR,24 ft,370.0,45,1904,44.4082,-71.1952,-1,-1,-1,-1
PA,H,6/2/2014,Seepage/Internal Erosion,Piping,-1,-1,No,P,RE,R,-1,11 ft,-1.0,0,1929,41.1051,-74.5605,-1,-1,-1,Yes
NY,H,8/28/2011,Hydrologic/Flooding,Spillway Erosion/Head Cutting,-1,-1,No,L,RE,S,Y,37 ft,867.0,66,1963,41.3833,-74.3333,-1,-1,-1,-1
TX,L,6/1/1982,Unknown,Spillway Deficiency,-1,-1,-1,P,RE,S,NR,39 ft,577.0,27,1961,33.292,-97.9597,-1,-1,-1,-1
NE,L,6/12/2010,Hydrologic/Flooding,Overtopping,-1,-1,No,F,RE,-1,-1,20 ft,-1.0,0,1980,0.0,0.0,2003,-1,-1,-1
SC,S,10/8/2016,Hydrologic/Flooding,Unknown,-1,-1,No,P,RE,R,Y,13 ft,119.0,17,1930,34.0183,-79.1733,-1,-1,1 Day,No
MD,S,3/29/2006,Deterioration or Poor Condition,Spillway Pipe Failure,Sinkhole,-1,No,P,RE,R,Y,22 ft,76.0,8,1969,39.6826,-76.3531,2008,-1,-1,-1
GA,L,9/29/2019,Unknown,Unknown,-1,-1,No,P,RE,O,NR,12 ft,30.0,1,2019,32.78,-83.63,-1,-1,-1,Yes
CO,H,9/12/2013,Hydrologic/Flooding,High Reservoir Level,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
TX,L,5/19/2021,Unknown,Unknown,-1,-1,-1,L,CNRE,IR,NR,35 ft,462.0,33,1940,27.88,-97.2917,-1,-1,-1,-1
MD,-1,1/1/2008,Seepage/Internal Erosion,Unknown,-1,-1,No,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
MD,H,7/20/2018,Hydrologic /Flooding,Overtopping,-1,-1,Yes,S,RE,R,Y,64 ft,734.0,27,1965,39.5389,-77.6213,1996,-1,3 weeks,No
VA,L,8/19/2018,Deterioration or Poor Condition,Spillway Pipe Failure,-1,-1,No,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
PA,H,7/17/1904,Seepage/Internal Erosion,Piping,-1,-1,No,L,RE,S,-1,60 ft,-1.0,0,1901,40.0618,-79.31,-1,10:00:00 PM,1 DAY,Yes
IN,-1,6/1/2008,Hydrologic/Flooding,Overtopping,-1,-1,No,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
DE,H,8/16/2023,Seepage/Internal Erosion,Piping,Spillway Chute Failure,-1,-1,S,PGRE,FR,Y,13 ft,310.0,40,-1,38.9112,-75.4648,2006,-1,-1,-1
IN,H,2/25/2019,Deterioration or Poor Condition,Spillway Pipe Failure,Sinkhole,-1,-1,P,RE,R,NR,22 ft,82.0,6,1964,39.4406,-87.3558,-1,-1,-1,-1
MD,H,7/21/2016,Manmade Action,Accident Or Misoperation,-1,-1,Yes,L,RE,S,Y,35 ft,134.0,7,1893,39.345,-76.6167,2006,-1,-1,-1
MD,H,9/17/2015,Manmade Action,Accident Or Misoperation,-1,-1,No,L,RE,S,Y,35 ft,134.0,7,1893,39.345,-76.6167,2006,-1,-1,-1
NC,L,10/8/2016,Hydrologic/Flooding,Overtopping,-1,-1,No,P,RE,R,NR,14 ft,72.0,0,-1,35.488,-78.71,-1,-1,1 day,-1
NY,S,8/28/2011,Hydrologic/Flooding,Sinkhole,-1,-1,No,LP,RE,R,N,35 ft,600.0,33,1858,41.4319,-74.5958,-1,-1,-1,-1
TX,L,9/1/1980,Hydrologic/Flooding,Overtopping,-1,-1,-1,P,RE,O,NR,35 ft,300.0,16,1960,32.4814,-100.595,-1,-1,-1,-1
NC,H,10/8/2016,Hydrologic/Flooding,Overtopping,-1,-1,Yes,U,RE,O,N,17 ft,5446.0,0,-1,35.381,-78.085,-1,-1,1 day,-1
TX,-1,1/2/2019,Unknown,Spillway Deficiency,-1,-1,-1,-1,RE,-1,-1,12 ft,53.0,0,-1,0.0,0.0,-1,-1,-1,-1
SC,L,10/8/2016,Hydrologic/Flooding,Unknown,-1,-1,No,P,RE,R,Y,9 ft,90.0,14,1949,34.7583,-79.79,-1,-1,1 Day,No
SC,L,10/4/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,P,RE,R,N,11 ft,147.0,26,1946,33.9583,-80.755,-1,-1,-1,-1
MS,L,4/16/2021,Deterioration or Poor Condition,Spillway Pipe Failure,Vegetation,-1,N,P,RE,R,NR,14 ft,280.0,0,-1,30.8412,-89.0682,-1,-1,-1,N
CO,H,6/10/2014,Seepage/Internal Erosion,Cracking,Other,-1,Yes,L,RE,SR,Y,43 ft,1155.0,62,1970,38.9693,-108.294,-1,-1,-1,-1
SC,L,10/8/2016,Hydrologic/Flooding,Unknown,-1,-1,No,P,RE,R,N,12 ft,63.0,9,1972,34.5283,-79.435,-1,-1,1 Day,No
OH,S,5/12/2017,Deterioration or Poor Condition,Spillway Pipe Failure,Sinkhole,-1,-1,P,RE,R,N,34 ft,124.0,5,1950,39.1111,-84.2311,-1,-1,2 days,Yes
MI,-1,6/1/2008,Hydrologic/Flooding,Unknown,-1,-1,Yes,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
VT,S,7/10/2023,Hydrologic/Flooding,Unknown,-1,-1,No,L,RE,O,NR,20 ft,16.0,2,1860,44.1054,-72.4298,-1,-1,-1,No
MN,-1,3/21/2019,Hydrologic/Flooding,Erosion,Overtopping,-1,No,S,REPG,-1,NR,6 ft,13777.0,1740,1930,44.11,-94.5663,1986,-1,1 day,Yes
TX,L,1/1/1991,Unknown,Spillway Deficiency,-1,-1,-1,P,RE,P,NR,16 ft,130.0,13,1957,30.9274,-95.382,-1,-1,-1,-1
NE,L,6/12/2010,Hydrologic/Flooding,Overtopping,-1,-1,No,-1,RE,-1,-1,10 ft,-1.0,0,1939,0.0,0.0,-1,-1,-1,-1
MO,H,1/1/2008,Structural Stability,Sliding,-1,-1,No,P,RE,R,N,38 ft,83.0,6,1978,37.9924,-90.3557,-1,-1,-1,-1
TX,H,3/29/1989,Seepage/Internal Erosion,Piping,-1,-1,-1,P,RE,R,N,17 ft,214.0,15,1900,32.5574,-94.3443,2006,-1,-1,-1
RI,-1,1/1/1955,Unknown,Unknown,-1,-1,No,-1,RE,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
TX,S,10/5/2023,Hydrologic/Flooding,Overtopping,Spillway Chute Failure,-1,-1,P,OT,O,NR,18 ft,63.0,8,-1,32.4811,-95.4058,-1,-1,-1,-1
TX,L,11/11/1985,Unknown,Spillway Chute Failure,-1,-1,-1,S,RE,O,NR,24 ft,135.0,0,1932,30.7408,-95.4748,-1,-1,-1,-1
MT,-1,4/14/1908,Unknown,Unknown,-1,-1,No,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
WA,S,8/21/2014,Hydrologic/Flooding,Spillway Erosion/Head Cutting,-1,-1,-1,P,RE,IR,N,33 ft,60.0,3,1940,48.3139,-120.002,1992,-1,-1,Yes
GA,H,3/27/2023,Hydrologic/Flooding,High Reservoir Level,-1,-1,Yes,L,RE,S,Y,32 ft,7588.0,300,1963,33.2804,-84.3744,1983,-1,-1,No
GA,H,4/19/2019,Hydrologic/Flooding,Spillway Erosion/Head Cutting,High Reservoir Level,-1,Unknown,L,RE,S,Y,32 ft,7588.0,300,1963,33.2804,-84.3744,1983,-1,-1,Unknown
TX,S,8/29/2017,Hydrologic/Flooding,Unknown,-1,-1,-1,P,RE,R,Y,17 ft,68.0,0,-1,30.7407,-94.4424,-1,-1,-1,-1
TX,S,9/27/1996,Hydrologic/Flooding,Overtopping,-1,-1,-1,P,RE,R,Y,17 ft,68.0,0,1800,30.7407,-94.4424,-1,-1,-1,-1
