state,downstream_hazard_potential,incident_type,incident_date,incident_driver,incident_mechanism_1,incident_mechanism_2,incident_mechanism_3,eap_enacted_y_n_due_to_incident,fatalities_number,number_of_people_evacuated,number_of_habitable_structures_evacuated,number_of_habitable_structures_flooded,other_infrastructure_impacts,economic_damages_in,response,volume_released_at_failure_ac_ft,owner_type,dam_type,primary_purpose_s,eap,dam_height,max_storage_ac_ft,surface_area_acres,year_completed,latitude,longitude,year_modified,incident_time,incident_duration,incident_report_produced
WI,S,Non-Failure,6/14/2022,Seepage/Internal Erosion,Piping,-1,-1,No,-1,0,0,0,-1,"$1 to $100,000",-1,-1,F,PGCN,CHNR,Y,20 ft,650.0,155,1932,44.275,-88.3183,-1,-1,-1,-1
WI,S,Non-Failure,10/16/2023,Seepage/Internal Erosion,Sinkhole,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,F,PGCN,CHNR,Y,20 ft,650.0,155,1932,44.275,-88.3183,-1,-1,-1,-1
UT,-1,Failure,6/16/1963,Unknown,Unknown,-1,-1,No,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
MD,S,Non-Failure,4/1/2014,Deterioration or Poor Condition,Spillway Riser Failure,Excessive/Increased Seepage,-1,Yes,0,0,-1,-1,-1,-1,-1,-1,P,RE,C,Y,44 ft,523.0,5,1962,39.6404,-76.5275,1962,-1,one week,-1
MD,S,Non-Failure,10/24/2017,Hydrologic/Flooding,Animal Activity,Debris Clogging,-1,Yes,-1,-1,-1,-1,-1,-1,Blockage removed same day,-1,P,RE,C,Y,44 ft,523.0,5,1962,39.6404,-76.5275,1962,-1,-1,-1
TX,L,Non-Failure,5/30/2015,Hydrologic/Flooding,Sliding,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,L,RE,CRP,NR,24 ft,1094.0,38,1970,33.3278,-96.8344,-1,-1,-1,-1
CO,S,Non-Failure,6/1/2013,Seepage/Internal Erosion,High Reservoir Level,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,Y,65 ft,1570.0,52,1968,40.2617,-106.113,-1,-1,-1,-1
MD,L,Non-Failure,6/12/2014,Hydrologic/Flooding,High Reservoir Level,-1,-1,Yes,0,0,-1,-1,-1,-1,-1,-1,P,RE,R,NR,17 ft,66.0,7,1953,39.6844,-78.2553,1953,-1,-1,-1
MD,-1,Failure,1/1/2008,Unknown,Unknown,-1,-1,Yes,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
PA,H,Non-Failure,9/8/2011,Hydrologic/Flooding,Overtopping,-1,-1,Yes,0,0,-1,-1,-1,-1,-1,-1,L,MSREST,R,Y,16 ft,41.0,6,1915,40.1558,-75.2047,-1,-1,1 DAY,-1
NC,H,Failure,10/8/2016,Hydrologic/Flooding,Overtopping,-1,-1,No,0,-1,0,-1,-1,$1 million to $5 million,-1,-1,P,RE,R,N,21 ft,109.2,0,-1,35.07,-78.998,-1,-1,1 day,-1
NY,S,Non-Failure,8/28/2011,Hydrologic/Flooding,Overtopping,-1,-1,No,-1,-1,-1,-1,-1,-1,-1,-1,P,-1,R,N,12 ft,98.0,19,1950,41.4156,-73.9072,-1,-1,-1,-1
PA,S,Non-Failure,6/10/1916,Structural Stability,Slope Stability,Sliding,-1,No,0,0,0,0,-1,$1 million to $5 million,EXTENSIVE SOIL TESTING AND REDESIGN OF THE REHABILITATION PROJECT.,-1,L,RE,S,Y,30 ft,431.0,31,1897,40.8722,-76.045,-1,-1,1 YEAR,-1
NE,L,Failure,5/1/2015,Hydrologic/Flooding,Overtopping,-1,-1,No,0,0,0,0,Roads,Unknown,-1,504,P,RE,I,NR,19 ft,504.0,46,1954,42.9161,-103.316,-1,-1,-1,No
AK,L,Non-Failure,9/11/2015,Hydrologic/Flooding,Gate/Valve Failure,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,U,CNPG,H,NR,30 ft,147000.0,1375,1973,58.1667,-133.733,-1,-1,-1,Yes
AK,L,Non-Failure,9/27/2021,Malfunction of Equipment/Gate,Gate/Valve Failure,-1,-1,No,-1,0,0,0,-1,Unknown,Dam owner repaired the flashboards,-1,U,CNPG,H,NR,30 ft,147000.0,1375,1973,58.1667,-133.733,-1,-1,-1,Yes
NC,L,Failure,10/8/2016,Hydrologic/Flooding,Overtopping,-1,-1,No,0,-1,0,-1,-1,$1 million to $5 million,-1,-1,S,RE,RI,NR,18 ft,672.0,0,-1,35.213,-78.976,2010,-1,1 day,-1
NM,H,Non-Failure,7/8/2011,Hydrologic/Flooding,Other,-1,-1,-1,-1,0,-1,0,Water/sewer lines,-1,-1,-1,L,RE,S,Y,40 ft,33.0,2,1943,35.8835,-106.354,2013,-1,-1,-1
TX,S,Non-Failure,1/1/1990,Structural Stability,Sliding,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,L,RE,S,Y,99 ft,21831.0,0,1991,33.2404,-98.1203,-1,-1,-1,-1
MI,L,Failure,5/21/2010,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,RE,R,Y,12 ft,210.0,25,1956,41.855,-84.5011,-1,-1,-1,-1
TX,S,Non-Failure,6/10/2010,Hydrologic/Flooding,Overtopping,-1,-1,No,-1,0,-1,0,-1,-1,-1,0,P,RE,R,Y,23 ft,568.0,36,1929,32.3153,-95.4152,-1,-1,-1,-1
WA,-1,Failure,4/1/1938,Unknown,Unknown,-1,-1,No,-1,-1,-1,-1,-1,-1,-1,-1,-1,HF,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
PA,H,Non-Failure,3/11/2011,Seepage/Internal Erosion,Excessive/Increased Seepage,-1,-1,No,0,0,-1,-1,-1,-1,DEP INSPECTOR VISIT TO DAM ON THE NEXT MORNING CONFIRMED NO CHANGE IN PRE-EXISTING SEEPAGE.,-1,P,MSREST,R,Y,15 ft,315.0,34,1919,41.8069,-75.7742,-1,-1,1 DAY,-1
PA,H,Non-Failure,6/26/2006,Hydrologic/Flooding,Overtopping,Erosion,-1,No,0,0,-1,-1,-1,-1,"AN EMERGENCY PERMIT WAS ISSUED FOR THE REPAIRS, WHICH WERE TO BEGIN IN SEPTEMBER 2006.",-1,P,MSREST,R,Y,15 ft,315.0,34,1919,41.8069,-75.7742,-1,-1,3 DAYS,-1
CO,H,Non-Failure,5/5/2015,Hydrologic/Flooding,High Reservoir Level,-1,-1,Yes,-1,-1,-1,-1,-1,-1,-1,-1,L,ER,S,Y,46 ft,34.0,2,1903,39.706,-105.411,1936,-1,-1,-1
CA,L,Non-Failure,6/26/2018,Seepage/Internal Erosion,Excessive/Increased Seepage,-1,-1,No,0,0,0,0,-1,-1,Immediate response by dam owner and Division of Safety of Dams. Spillway stoplogs have been removed and the reservoir restricted.,-1,P,RE,H,NR,40 ft,5091.0,198,1885,38.6088,-119.927,-1,-1,-1,Yes
TX,L,Non-Failure,5/26/2015,Structural Stability,Sliding,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,L,RE,CP,NR,34 ft,710.0,19,1960,30.6204,-97.3388,-1,-1,-1,-1
TX,L,Non-Failure,5/26/2015,Structural Stability,Sliding,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,L,RE,CIP,NR,34 ft,547.0,15,1960,30.6452,-97.2906,-1,-1,-1,-1
NY,H,Non-Failure,8/28/2011,Hydrologic/Flooding,Overtopping,-1,-1,No,-1,-1,-1,-1,-1,-1,-1,-1,F,RE,R,N,10 ft,-1.0,0,-1,41.3538,-73.9774,-1,-1,-1,-1
TX,H,Non-Failure,5/16/2024,Hydrologic/Flooding,Spillway Erosion/Head Cutting,-1,-1,Unknown,-1,0,0,0,Water/sewer lines,Unknown,"owner contacted a PE to develop plans for repairs, TCEQ inspeced",-1,L,RE,CPR,Y,29 ft,2017.0,141,1953,32.5495,-96.4174,-1,-1,-1,Yes
TX,H,Non-Failure,5/30/2015,Hydrologic/Flooding,Spillway Deficiency,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,L,RE,CRP,N,29 ft,2017.0,141,1953,32.5495,-96.4174,-1,-1,-1,-1
TX,H,Non-Failure,5/7/2024,Hydrologic/Flooding,Spillway Erosion/Head Cutting,-1,-1,Unknown,-1,0,0,0,-1,Unknown,"owner contacted a PE, who notified TCEQ of the damages; TCEQ inspected the dam",-1,L,RE,CPR,Y,27 ft,1800.0,143,1953,32.5587,-96.3943,-1,-1,-1,Yes
CA,-1,Failure,12/22/1964,Unknown,Unknown,-1,-1,No,-1,-1,-1,-1,-1,over $100 million,-1,-1,-1,ER,-1,-1,410 ft,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
NH,S,Non-Failure,6/22/2020,Seepage/Internal Erosion,Piping,Excessive/Increased Seepage,-1,No,0,0,0,0,-1,Unknown,-1,-1,P,CNTC,H,Y,16 ft,31.0,2,1934,43.6,-71.748,1937,-1,68 days,Yes
WI,H,Non-Failure,4/24/2023,Seepage/Internal Erosion,Piping,-1,-1,No,-1,0,0,0,-1,"$1 to $100,000",-1,-1,X,PGRE,HNR,Y,16 ft,200.0,40,1857,44.2798,-88.2556,1940,-1,-1,-1
PA,H,Non-Failure,7/16/2010,Seepage/Internal Erosion,Excessive/Increased Seepage,-1,-1,No,0,0,-1,-1,-1,-1,OWNER DIRECTED TO LOWER LAKE AT 1 FT PER DAY & TO MONITOR SEEPAGE,-1,P,RE,R,Y,19 ft,254.0,22,1960,41.2533,-75.4508,2007,-1,-1,-1
PA,H,Non-Failure,10/22/2012,Seepage/Internal Erosion,Excessive/Increased Seepage,-1,-1,No,0,0,-1,-1,-1,-1,OWNER ADVISED TO INITIATE DRAWDOWN. PROPOSED GROUT REPAIR PLAN DENIED.  DAM REMAINS DRAINED.,-1,P,RE,R,Y,19 ft,254.0,22,1960,41.2533,-75.4508,2007,-1,-1,-1
VA,S,Failure,6/11/2014,Seepage/Internal Erosion,Piping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,N,11 ft,49.6,0,-1,37.4373,-77.4567,-1,-1,-1,-1
CA,-1,Failure,1/21/1916,Hydrologic/Flooding,Overtopping,-1,-1,No,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
AK,S,Non-Failure,9/18/2023,Hydrologic/Flooding,Overtopping,Spillway Deficiency,Other,Yes,-1,-1,-1,-1,-1,-1,-1,-1,P,ER,T,Y,44 ft,910.0,75,2024,58.8136,-135.04,-1,7:00 AM,approx 1 month,Unknown
WI,L,Failure,3/25/2022,Seepage/Internal Erosion,Piping,-1,-1,Yes,0,0,0,0,Roads,"$1 to $100,000",-1,-1,S,RE,R,Y,7 ft,150.0,40,1962,45.3972,-90.6176,-1,-1,-1,-1
MT,-1,Failure,6/8/1964,Unknown,Unknown,-1,-1,No,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
IN,-1,Failure,1/1/2008,Unknown,Unknown,-1,-1,No,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
TX,S,Non-Failure,5/30/2015,Hydrologic/Flooding,Spillway Deficiency,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,L,RE,R,Y,25 ft,642.0,42,1933,33.7296,-96.588,-1,-1,-1,-1
KY,H,Non-Failure,2/26/2018,Structural Stability,Slope Stability,Sliding,-1,-1,0,0,0,0,-1,-1,-1,-1,L,RE,R,Y,25 ft,937.0,59,1940,37.2131,-87.196,-1,-1,-1,Yes
AZ,-1,Failure,4/14/1915,Seepage/Internal Erosion,Piping,-1,-1,No,8,-1,-1,-1,-1,"$500,000 to $1 million",-1,-1,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
VT00000,L,Failure,7/10/2023,Hydrologic/Flooding,Unknown,-1,-1,No,0,0,0,0,Unknown,Unknown,-1,12,P,RE,R,NR,8 ft,12.0,3,-1,43.2341,-72.8944,-1,-1,-1,No
SC,L,Failure,10/4/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,N,24 ft,90.0,9,1971,33.8983,-80.7283,-1,-1,-1,-1
NC,-1,Failure,1/1/2008,Hydrologic/Flooding,Unknown,-1,-1,No,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
NE,L,Failure,1/1/2012,Seepage/Internal Erosion,Piping,-1,-1,No,0,0,0,0,-1,Unknown,-1,-1,P,RE,I,NR,25 ft,238.0,21,1947,42.987,-103.814,-1,-1,-1,No
MS,L,Non-Failure,12/27/2012,Deterioration or Poor Condition,Animal Activity,-1,-1,No,-1,0,-1,0,-1,-1,-1,-1,-1,RE,R,-1,8 ft,-1.0,0,-1,33.0,-90.0,-1,-1,-1,-1
TX,S,Non-Failure,6/14/1981,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,N,30 ft,140.0,0,1968,29.7406,-98.863,-1,-1,-1,-1
VA,L,Failure,7/27/2022,Deterioration or Poor Condition,Other,-1,-1,No,0,Unknown,Unknown,0,-1,-1,-1,-1,P,RE,R,Y,34 ft,105.0,14,-1,38.3734,-78.2164,-1,-1,-1,Unknown
UT,H,Failure,6/24/1917,Other,Overtopping,-1,-1,-1,0,UNKNOWN,UNKNOWN,UNKNOWN,Railroads,$1 million to $5 million,-1,11000,P,RECN,I,-1,67 ft,-1.0,0,0,39.7157,-111.299,-1,-1,-1,YES
CO,H,Non-Failure,9/18/2013,Seepage/Internal Erosion,Excessive/Increased Seepage,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,L,RE,S,Y,124 ft,1100.0,27,1971,38.8767,-104.994,1998,-1,-1,-1
TX,S,Failure,10/25/2015,Hydrologic/Flooding,Spillway Deficiency,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,-1,Y,16 ft,108.0,0,1957,31.4314,-96.9698,-1,-1,-1,-1
OH,S,Non-Failure,1/27/2012,Deterioration or Poor Condition,Spillway Pipe Failure,-1,-1,No,-1,0,-1,0,-1,NONE,-1,0,P,RE,R,N,27 ft,22.9,2,1970,40.55,-81.63,-1,12:00 AM,-1,-1
PA,L,Failure,12/1/2010,Deterioration or Poor Condition,Overtopping,-1,-1,No,0,0,-1,-1,-1,-1,POOL DRAWN DOWN WITH PUMPS.  EMERGENCY PERMIT REPAIRS BY BORO USED CONCRETE BAGS & REBAR.,-1,L,CN,S,-1,6 ft,-1.0,0,-1,40.011,-80.0542,-1,-1,-1,-1
KY,S,Non-Failure,4/27/2022,Seepage/Internal Erosion,Piping,-1,-1,No,-1,0,0,0,-1,-1,-1,-1,L,RE,S,NR,28 ft,804.0,51,1964,37.3024,-88.0906,-1,-1,-1,Yes
WI,-1,Failure,5/27/2020,Unknown,Debris Clogging,Animal Activity,-1,No,0,0,0,0,-1,"$1 to $100,000",-1,-1,-1,-1,-1,-1,0 ft,0.0,0,0,0.0,0.0,-1,-1,1 day,Yes
CO,H,Non-Failure,11/23/2015,Seepage/Internal Erosion,Excessive/Increased Seepage,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,U,RE,S,Y,33 ft,21100.0,652,1899,39.6237,-105.062,-1,-1,-1,-1
MD,-1,Failure,5/5/2016,Deterioration or Poor Condition,Spillway Pipe Failure,Accident or Misoperation,-1,No,-1,-1,-1,-1,-1,-1,-1,-1,-1,RE,-1,-1,22 ft,25.0,0,-1,39.5237,-76.4438,-1,-1,-1,-1
PA,H,Non-Failure,9/8/2011,Hydrologic/Flooding,Overtopping,Erosion,-1,Yes,0,83,-1,-1,-1,-1,RIGHT SIDE OF SPILLWAY REPAIRED WITH CONCRETE WALL AND SPLASH PAD AS PER 2013 INSPECTION.,-1,L,RE,C,Y,52 ft,180.0,1,1967,41.7647,-75.7467,-1,-1,1 DAY,-1
WY,L,Failure,5/23/2015,Hydrologic/Flooding,Spillway Pipe Failure,Overtopping,Piping,No,0,0,0,0,-1,-1,-1,106,P,RE,I,NR,40 ft,106.0,9,1954,42.0217,-105.24,-1,-1,-1,-1
GA,L,Failure,5/19/2013,Hydrologic/Flooding,Overtopping,-1,-1,No,-1,-1,-1,-1,Roads,-1,-1,-1,P,RE,R,NR,25 ft,108.0,0,1930,34.1933,-84.1244,-1,12:00 AM,-1,-1
DE,L,Non-Failure,8/28/2011,Hydrologic/Flooding,Overtopping,-1,-1,No,-1,0,-1,0,-1,unknown,-1,0,S,REPG,RF,NR,12 ft,490.0,36,1933,39.2395,-75.6175,-1,-1,-1,-1
VA,U,Non-Failure,6/5/2020,Structural Stability,Sinkhole,-1,-1,-1,unknown,Unknown,Unknown,-1,-1,-1,-1,-1,X,RE,R,N,14 ft,1162.0,0,-1,37.0414,-76.4873,-1,-1,-1,Yes
NC,H,Failure,10/8/2016,Hydrologic/Flooding,Overtopping,-1,-1,No,-1,-1,-1,-1,-1,"$100,000 to $500,000",-1,-1,P,RE,R,N,14 ft,130.0,0,-1,35.07,-77.7878,-1,-1,1 day,-1
MS,H,Non-Failure,12/28/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,0,-1,0,0,Water/sewer lines,-1,-1,-1,P,RE,R,Y,21 ft,373.0,23,1948,34.9678,-89.8506,-1,-1,-1,-1
OH,S,Non-Failure,7/8/2016,Seepage/Internal Erosion,Cracking,-1,-1,No,0,0,0,0,-1,-1,-1,-1,S,RE,O,Y,21 ft,24.0,1,-1,38.6578,-83.1778,-1,-1,-1,No
TX,S,Non-Failure,8/4/1978,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,L,RE,S,Y,50 ft,6696.0,263,1942,32.6582,-99.3597,1980,-1,-1,-1
CA,H,Non-Failure,12/14/2022,Unknown,Other,-1,-1,No,-1,0,0,0,-1,-1,Owner responded quickly upon noticing the cracked pipe and notified state and federal regulators.  A temporary repair was completed 12/28/22.,-1,P,RE,H,Y,241 ft,35234.0,520,1965,41.1309,-122.071,-1,-1,2 weeks,Yes
SC,L,Failure,9/16/2018,Hydrologic/Flooding,Overtopping,Erosion,-1,No,0,0,0,0,-1,-1,State Dam Safety Program performed a full inspection following the breach of this dam.  The inspection report will contain a requirement that the Owner hire an engineer and submit either a permit application for repair or removal of the dam.,-1,P,RE,R,NR,14 ft,72.0,10,-1,34.4948,-79.4096,-1,-1,-1,-1
SC,L,Failure,10/4/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,N,14 ft,71.0,52,1908,33.885,-80.4617,-1,-1,-1,-1
WI,S,Non-Failure,6/10/2011,Seepage/Internal Erosion,Piping,-1,-1,No,-1,0,-1,0,-1,-1,-1,-1,L,CNRE,-1,Y,21 ft,2160.0,261,1855,44.4928,-89.5558,1962,-1,-1,-1
TN,L,Non-Failure,2/27/2023,Seepage/Internal Erosion,Other,-1,-1,No,0,0,0,0,-1,Unknown,Hamilton County notified Safe Dams 1 day after event.,-1,L,RE,-1,N,-1,-1.0,0,-1,35.4271,-85.1073,-1,-1,1 day,No
NY,H,Non-Failure,8/28/2011,Hydrologic/Flooding,Spillway Erosion/Head Cutting,-1,-1,No,-1,-1,-1,-1,-1,-1,-1,-1,S,CB,R,Y,37 ft,735.0,147,1968,44.8689,-73.675,-1,-1,-1,-1
TX,L,Non-Failure,5/13/2004,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,NR,15 ft,360.0,38,1961,30.9151,-96.5518,-1,-1,-1,-1
VA,U,Non-Failure,3/18/2022,Deterioration or Poor Condition,Erosion,Spillway Pipe Failure,-1,No,-1,0,0,0,-1,"$100,000 to $500,000",DCR worked with Fluvanna County  and their contractors to dewater and decommission dam that possed an imminent failure risk. DCR reimbursed the locality for expenses and a legal demand for expenses was issued to the dam owner.,-1,P,RE,R,N,23 ft,93.0,0,1969,37.7263,-78.2871,-1,-1,-1,-1
VA,U,Failure,3/21/2022,Deterioration or Poor Condition,Spillway Pipe Failure,Spillway Riser Failure,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,P,RE,R,N,23 ft,93.0,0,1969,37.7263,-78.2871,-1,-1,-1,-1
SC,S,Failure,9/16/2018,Hydrologic/Flooding,Debris Clogging,Overtopping,Erosion,No,0,0,0,0,-1,-1,State Dam Safety Program performed a full inspection following the breach of this dam.  The inspection report will contain a requirement that the Owner hire an engineer and submit either a permit application for repair or removal of the dam.,-1,P,RE,R,Y,11 ft,472.0,76,1900,34.6754,-79.7581,-1,-1,-1,-1
NM,S,Non-Failure,8/1/2022,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,L,RE,C,N,25 ft,720.0,70,1951,32.7384,-107.257,1993,-1,-1,-1
KY,H,Failure,5/14/2017,Seepage/Internal Erosion,Piping,-1,-1,Unknown,0,0,0,Unknown,Unknown,Unknown,Unknown,-1,P,RE,R,NR,19 ft,126.0,19,1956,37.6098,-87.2526,-1,-1,-1,Yes
CA,S,Non-Failure,4/17/2012,Manmade Action,Spillway Pipe Failure,-1,-1,No,-1,0,-1,0,-1,-1,-1,-1,P,RE,IS,NR,52 ft,878.0,26,1957,37.6997,-120.201,-1,-1,-1,-1
SC,L,Failure,9/16/2018,Hydrologic/Flooding,Spillway Erosion/Head Cutting,Overtopping,-1,No,0,0,0,0,Roads,-1,State Dam Safety Program performed a full inspection following the breach of this dam.  The inspection report will contain a requirement that the Owner hire an engineer and submit either a permit application for repair or removal of the dam.,-1,P,RE,R,NR,7 ft,95.0,19,1950,34.7377,-79.7993,-1,-1,-1,-1
TX,H,Non-Failure,6/13/1973,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,Y,20 ft,305.0,17,1960,30.3845,-95.338,-1,-1,-1,-1
CO,L,Failure,9/12/2013,Hydrologic/Flooding,Unknown,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,RE,R,NR,30 ft,92.0,6,1957,40.2621,-105.419,-1,-1,-1,-1
NH,L,Non-Failure,7/29/2021,Deterioration or Poor Condition,Spillway Riser Failure,Sinkhole,Spillway Pipe Failure,-1,-1,0,0,0,-1,Unknown,Emergency oulet was initially installed. Corroded low-level outlet failed some time after resulting in pond loss.  Currently repair design is ongoing through consultant. Impoundment is lowered until repairs can be made.,-1,S,RE,R,NR,14 ft,105.0,18,1975,43.201,-71.2054,1991,-1,-1,Yes
TX,S,Non-Failure,7/1/2007,Seepage/Internal Erosion,Piping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,Y,16 ft,223.0,9,1950,32.6789,-96.3036,2008,-1,-1,-1
TX,H,Non-Failure,5/28/1982,Unknown,Spillway Deficiency,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,N,19 ft,129.0,0,1959,32.8332,-97.2478,-1,-1,-1,-1
NY,-1,Failure,01/01/1897,Unknown,Unknown,-1,-1,No,7,-1,-1,-1,-1,-1,-1,-1,-1,RE,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
WI,H,Non-Failure,7/19/2022,Seepage/Internal Erosion,Piping,-1,-1,No,-1,0,0,0,-1,"$1 to $100,000",-1,-1,F,PGCN,CSNFR,Y,16 ft,2430000.0,173000,1937,44.2,-88.4467,-1,-1,-1,-1
SD,H,Non-Failure,4/1/2019,Hydrologic/Flooding,Spillway Erosion/Head Cutting,Animal Activity,-1,No,0,0,0,0,-1,-1,Owner increased monitoring of the dam and secondary spillway until it was repaired in Fall of 2019.,-1,S,RE,R,Y,53 ft,2050.0,48,1935,43.2617,-97.6167,1996,-1,-1,-1
SD,H,Failure,6/12/1984,Hydrologic/Flooding,Overtopping,Insufficient Spillway Capacity,-1,-1,0,unknown,1,1,Other,-1,-1,-1,S,RE,R,Y,53 ft,2050.0,48,1935,43.2617,-97.6167,1996,7:00,-1,-1
SD,H,Non-Failure,8/1/2019,Hydrologic/Flooding,Spillway Erosion/Head Cutting,Animal Activity,-1,No,0,0,0,0,-1,-1,Owner increased monitoring of the dam and secondary spillway until it was repaired in Fall of 2019.,-1,S,RE,R,Y,53 ft,2050.0,48,1935,43.2617,-97.6167,1996,-1,-1,-1
NY,S,Non-Failure,8/28/2011,Hydrologic/Flooding,High Reservoir Level,-1,-1,No,-1,-1,-1,-1,-1,-1,-1,-1,L,RE,R,Y,50 ft,96.0,10,1953,41.3753,-74.1853,-1,-1,-1,-1
NY,S,Non-Failure,8/28/2011,Hydrologic/Flooding,Spillway Chute Failure,High Reservoir Level,-1,Yes,-1,-1,-1,-1,-1,-1,-1,-1,P,-1,H,N,10 ft,80.0,9,1902,43.0864,-73.4956,-1,-1,-1,-1
MO,L,Non-Failure,12/29/2015,Deterioration or Poor Condition,Spillway Pipe Failure,-1,-1,No,-1,0,-1,-1,-1,-1,-1,-1,P,RE,R,N,49 ft,270.0,18,1971,37.5711,-90.8693,2001,-1,-1,-1
MT,-1,Failure,1/1/1975,Unknown,Unknown,-1,-1,No,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
MS,S,Failure,8/29/2012,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,0,-1,0,Roads,-1,-1,135,-1,RE,R,-1,18 ft,-1.0,0,2005,0.0,0.0,-1,-1,-1,-1
PA,H,Non-Failure,9/8/2011,Hydrologic/Flooding,Overtopping,-1,-1,Yes,0,-1,-1,-1,-1,-1,REMOVAL OF THE DAM IS SCHEDULED IN 2018,-1,S,MS,OR,Y,25 ft,24.0,1,1937,40.3286,-76.1114,-1,-1,-1,-1
MD,L,Failure,6/25/2006,Hydrologic/Flooding,Unknown,-1,-1,No,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,RI,NR,11 ft,78.0,11,1930,38.5947,-75.8272,1999,-1,-1,-1
MD,-1,Failure,7/7/2017,Hydrologic/Flooding,Unknown,-1,-1,No,-1,-1,-1,-1,-1,-1,-1,-1,-1,RE,-1,-1,10 ft,25.0,0,-1,38.3193,-76.5177,-1,-1,-1,-1
MA,H,Failure,01/01/1874,Unknown,Unknown,-1,-1,No,139,-1,-1,-1,-1,-1,-1,-1,-1,RE,O,-1,40 ft,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
AZ,H,Failure,7/24/2021,Malfunction of Equipment/Gate,High Reservoir Level,Piping,Animal Activity,No,0,Unknown,Unknown,Unknown,Unknown,Unknown,"Dam owner did not notify the State agency of the leak at the downstream face.  State employee from the area heard about the incident and the State contacted the owner who confirmed the leak from the dam.  State agency was notified in the evening of July 25, 2021 of full breach of the dam.",990,P,RE,CI,N,35 ft,2800.0,125,1958,34.4306,-110.041,-1,7:00 PM,Hours,No
CO,H,Non-Failure,10/7/2020,Seepage/Internal Erosion,Excessive/Increased Seepage,Overtopping,-1,Yes,0,0,0,0,-1,-1,-1,-1,F,RE,IR,Y,25 ft,240.0,0,1953,37.6226,-106.67,2009,9:30 AM,3 hours,No
