dam_name,incident_id,incident_description,named_hydrologic_event,additional_remarks_or_updates,nid_number,river_name,regulatory_agency_ies,information_sources,attachments
Ledoux Dam,NH01058-3444,Owner noted concentraed leakage midslope.,-1,-1,NH01058,Unnamed,NHDES,NHDES,-1
LEE LAKE,MA00000-214,-1,-1,1mfg. plant damaged or destroyed  Fatalities: 2 -,MA00000,-1,-1,-1,-1
LEFT HAND VALLEY,CO00177-2066,Reported as being in trouble; John B reported spillways flows only. Colorado Flooding of 9-13,-1,-1,CO00177,DRY CREEK,DWR,-1,-1
LEGETTE MILLPOND DAM,SC01807-3003,Hurricane Matthew,Matthew,-1,SC01807,REEDY CREEK,SCDHEC,SC DHEC,-1
LEISURE LAKE,TN07107-3509,Principal spillway was abandoned improperly without engineering oversight.  Flow around plug led to failure of old spillway pipe.  Portion of upstream slope eroded as a result; lake completely dewatered.,-1,-1,TN07107,TRIBHOUSTON BRANCH,TENN SAFE DAMS PRG,TN Safe Dams,Y
LEISURE LAKE,TN07107-3515,Dam owner altered spillway without approval.  Seepage developed around abanonded spillway and led to excessive piping.,-1,-1,TN07107,TRIBHOUSTON BRANCH,TENN SAFE DAMS PRG,TN Safe Dams,Y
LEISURE LAKE #2 DAM,MO10420-167,"vertically below crest of dam. Sinkhole approximately 5 feet in diameter and 4 feet deep. Sinkhole may be result of seepage through old root tunnels. REPORTED APRIL 29, 2008",-1,"Large rotational slide on downstream face. Width of slide approximately 80-100 feet. Vertical displacement approximately 5 feet. REPORTED MAY 29, 2008",MO10420,TR-RACOON CREEK,NONE,-1,-1
LEISURE LAKE DAM,TX01868-778,"Spillway pipe failed, partially drained lake",-1,-1,TX01868,TR-THOMPSONS CREEK,TCEQ,-1,-1
LENARTOWICZ DAM,NJ00000-1201,"Overtopping, embankment failure",Irene,-1,NJ00000,UNNAMED,NJDEP,-1,-1
LEWIS CREEK DAM,TX00119-2708,MULTIPLE SLIDES,-1,-1,TX00119,LEWIS CREEK,TCEQ,TX DEQ,-1
LEWISVILLE LAKE,TX00008-2663,SLIDE,-1,-1,TX00008,ELM FORK OF THE TRINITY RIVER,TCEQ,-1,-1
LEXINGTON MILL POND DAM,SC00143-2622,Heavy rains-as much as 16 inches caused several dams to overtop and fail.,-1,-1,SC00143,TWELVEMILE CREEK,SCDHEC,SC DHEC Website,-1
LEYDEN,CO01216-2075,reports of dam failing; spillway flows - Colorado Flooding of 9-13,-1,-1,CO01216,LEYDEN CREEK,DWR,-1,-1
LILY POND DAM,NY15089-1307,"Overtopped but little or no damage. Overtopped at  left  abutment  of the dam, appears to be an auxiliary spillway.  Hurricane Irene",Irene,-1,NY15089,TROUT BROOK,NYS DEC,-1,-1
LINCOLN SEWAGE LAGOON,NH00590-1149,Visited the site 8/31/11 from 8am to 8:30 am to inspect river revetment system for damage.  High flows caused further erosion of the revetment and completely failed a culvert headwall.  Lagoon was not breached.,Irene,-1,NH00590,-1,NH DEPARTMENT OF ENVIRONMENTAL SERVICES DAM BUREAU,-1,Y
LINDEN LAKE,PA00000-3229,"AFTER HEAVY RAINS, 60' WIDE OVERTOPPING FLOW UP TO 1.5 FOOT DEPTH.",-1,"SIMILAR OVERTOPPING AT THE DAM ALSO OCCURRED ON MARCH 4, 2015.   8 INCH DEPTH OF OVERTOPPING AT DOWNSTREAM LINDEN HALL ROAD.",PA00000,TR YOUGHIOGHENY RIVER,PADEP,PA Dam Safety,-1
LINDY'S LAKE DAM,NJ00201-1184,Minor overtopping damage,Irene,-1,NJ00201,WEST BROOK-TR,NJDEP,-1,-1
LINN GROVE MILLDAM,IA01308-3244,Low Head Dam.  Flood event cause overtopping and breaching in two locations of the abutment area.,-1,-1,IA01308,LITTLE SIOUX RIVER,IOWA DNR,IA DNR,-1
LINN GROVE MILLDAM,IA01308-3361,Low Head Dam.  Flood event cause overtopping and breaching in two locations of the abutment area.,-1,-1,IA01308,LITTLE SIOUX RIVER,IOWA DNR,IA Dam Safety,-1
LIRETTE LAKE DAM,MS03742-2956,A SMALL BERM OF QUIKCRETE BAGS WAS BUILT AROUND THE AREA AND THE PIPING DID NOT PROGRESS.,-1,-1,MS03742,-1,MS Dept. of Environmental Quality,MS DEQ,-1
LITTLE CHUTE,WI00779-3576,A sinkhole was observed by FRNSA in the downstream embankment of the navigational channel where the embankment ties into the left side of the lock entrance wall.  The hole was approximately 4' diameter and 6' ft deep.,-1,-1,WI00779,FOX,WIDNR,WI Dam Safety,-1
LITTLE CHUTE,WI00779-3582,Sinkholes were observed in the embankment and navigational canal while drawn down for planned embankment work.,-1,-1,WI00779,FOX,WIDNR,WI Dam Safety,-1
LITTLE DEER CREEK,UT00000-208,-1,-1,Summer cabins damaged  Fatalities: 1 -,UT00000,-1,-1,-1,-1
LITTLE DEER CREEK SITE 2A (MCKNIGHT/RUTLEDGE),MD00035-2662,"Plugged Riser,Abutment Seepage",-1,-1,MD00035,TR-LITTLE DEER CREEK,MD Dam Safety,MD Dam Safety,-1
LITTLE DEER CREEK SITE 2A (MCKNIGHT/RUTLEDGE),MD0003-3158,Beavers plugged spillway structure,-1,-1,MD00035,LITTLE DEER CREEK-TR,MD DAM SAFETY,MD Dam Safety,-1
LITTLE ELM AND LATERALS WS SCS SITE 19 DAM,TX01129-2691,SLIDE,-1,-1,TX01129,TR-LITTLE ELM CREEK,TCEQ,TX DEQ,-1
LITTLE KING RANCH,CO00712-2090,"Dam with absentee owner.  Water level rose well above restricted level during spring runoff, resulting in heavy seepage from foundation and abutments.  Water commissioner directed to control water level as possible.",-1,Finally able to track down owner and get their attention.  Outlet required to be fully open until plans for seepage control repairs can be made.,CO00712,BUFFALO CREEK,DWR,-1,-1
LITTLE TONOLOWAY DAM,MD00062-2659,8 inches rain in 4 hour,-1,-1,MD00062,LITTLE TONOLOWAY CREEK,MD Dam Safety,MD Dam Safety,-1
LITTLE YOUGHIGHENY SITE 3,MD00000-153,-1,-1,"Spillway conduit plugged resulting in emergency spillway flow & evacuation of some residents of Town of Oakland, MD.",MD00000,-1,-1,-1,-1
LOCH ALSH RESERVOIR,PA00935-3191,TROPICAL STORM LEE CAUSED OVERTOPPING OF DAM WITH 5 INCHES RAINFALL IN 3 HOURS,TS Lee,-1,PA00935,TR WISSAHICKON CREEK,PENNSYLVANIA DEPARTMENT OF ENVIRONMENTAL PROTECTION,PA Dam Safety,-1
LOCH LOMMOND,NC02137-2965,breached completely and lake drained,Matthew,-1,NC02137,STEWARTS CREEK,NCDENR,NCDEQ,-1
LOCH LYALL DAM,NY01201-1317,Dam overtopped. Local erosion DS face. Big trees on dam now have exposed roots.  Hurricane Irene,Irene,-1,NY01201,INDIAN BROOK,NYS DEC,-1,-1
LOFTY RESERVOIR,PA00681-3196,SLOPE FAILURE CRACKS OBSERVED FOLLOWING DRAWDOWN IN PREPARATION FOR REHABILITATION PROJECT,-1,CONSTRUCTION PROJECT IS NEAR COMPLETION AS OF JANUARY 2018.,PA00681,MESSERS RUN,PENNSYLVANIA DEPARTMENT OF ENVIRONMENTAL PROTECTION,PA Dam Safety,-1
LONE TREE DAM,NE00815-2843,-1,-1,"Principal spillway removed in 1980's, so auxiliary spillway was only spillway. Reservoir maintained at higher than designed level.  Resulted in severe wave erosion into crest of dam prior to breaching. Damage to downstream rural roads and downstream pastures and fencelines",NE00815,LONE TREE CREEK,NE DNR,NE DNR,-1
LONG LAKE DAM,AK00044-2651,Heavy rain event (7.73 in 24 hrs & 2.8 in earlier in the week) resulted in a rainfall induced flood event during which a section of the wooden flashboards failed.,-1,"“The flashboards include a 20ft.x1ft. notch, near the south end of the dam, that will pass a nominal flow of 75 cfs. All additional flows will overtop the flashboards along the length of the dam. Based on the 1999 stability analysis, the flashboards are expected to fail at flood flows above 4500 cfs. This is a storm with a return interval of 10 years. The dam is located in a very remote area and there is no development downstream of the dam.",AK00044,LONG RIVER,AKDNR,AK DNR,Y
LONG LAKE DAM,AK00044-3459,A log damaged flashboards causing an overtopping event,-1,-1,AK00044,LONG RIVER,AKDNR,AKDNR,-1
LONG VALLEY FARM LAKE DAM,NC01126-2966,"breached, deep scour holes on crest, downstream slope and toe of dam near principal spillway",Matthew,-1,NC01126,JUMPING RUN CREEK,NCDENR,NCDEQ,-1
LOS ALAMOS CANYON DAM,NM00299-1366,Dam was under rehabilitation construction when the site was evacuated and the area back-burned to prevent a wildfire from reaching Los Alamos.  The overflow spillway had been demolished and the dam crest lowered during construction.,-1,A majority of the watershed was burned and the dam is now volunerable to overtopping.  A by-pass channel was constructed through the left abutment to carry flood flows from the burnt watershed around the dam.  The alteration of the site required a redesign effort that is underway. Los Alamos County watersupply line,NM00299,LOS ALAMOS CANYON,Office of the State Engineer,-1,-1
LOST CREEK DAM,TX06399-2776,LARGE SLIDE,-1,-1,TX06399,LOST CREEK,TCEQ,TX DEQ,-1
LOST NATION LAKE # 5 DAM,MI00555-1420,Overtopping and possibly seepage,-1,-1,MI00555,TRIB TO E BR ST JOSEPH,Michigan DEQ,-1,-1
LOST PINE LAKE DAM,TX00257-1240,"Dam overtopped by more than one foot.  Dam did not fail, but downstream slope was severely damaged.",-1,-1,TX00257,TR-INDIAN CREEK,TCEQ,-1,-1
LOUP LOUP,WA00000-191,-1,-1,Precise date unknown. 50 foot high hydraulic fill dam failed when emergency spillway was undercut during a flood.  75 people left homeless.,WA00000,-1,-1,-1,-1
LOWER ALFORD LAKE,PA00053-3207,CALL FROM A CONCERNED CITIZEN REGARDING A POTENTIAL PROBLEM.  SEEPAGE AND SPILLWAY FLOW OBSERVED.,-1,"THIS INCIDENT WAS NOT CRITICAL, BUT DAM NEEDS REPAIRS AND POSES A THREAT TO DOWNSTREAM HOMES.",PA00053,MARTINS CREEK,PENNSYLVANIA DEPARTMENT OF ENVIRONMENTAL PROTECTION,PA Dam Safety,-1
LOWER ALFORD LAKE,PA00053-3206,OVERTOPPING OF STONE MASONRY DAM RESULTED IN EROSION AT THE TOE.,-1,-1,PA00053,MARTINS CREEK,PENNSYLVANIA DEPARTMENT OF ENVIRONMENTAL PROTECTION,PA Dam Safety,-1
LOWER BEAVER BROOK,CO00187-3018,"High hazard with very little freeboard, but within 7 inches of spill",-1,EAP Level 1 activation.  Mitigated with construction of an 18-inch tall sand bag parapet by correctional institution forces.,CO00187,BEAVER BROOK,DWR,CD DWR,-1
LOWER BLUE LAKE,CA00380-3255,"Damp spots on the downstream face along the length of the left embankment, localized small active seep from damp area, and seepage boil located ~10 feet downstream of the toe on left side of the dam.",-1,-1,CA00380,BLUE CREEK,"DWR, SAFETY OF DAMS",CA DSOD,-1
LOWER BRUSHY CREEK WS SCS SITE 2 DAM,TX01335-2884,SLIDES,-1,-1,TX01335,TR-TURKEY CREEK,TCEQ,-1,-1
LOWER BRUSHY CREEK WS SCS SITE 7 DAM,TX01346-2885,SLIDES,-1,-1,TX01346,TR-TURKEY CREEK,TCEQ,-1,-1
LOWER CRAGSTON LAKE DAM,NY13539-1315,"Dam overtopped by less than 6"", minor erosion experienced downstream of core  wall at toe.  Hurricane Irene",Irene,-1,NY13539,UNKNOWN,NYS DEC,-1,-1
LOWER EAST FORK LATERALS WS SCS SITE 10 DAM,TX03358-3600,spring rains caused head-cutting erosion in the spillway to progress,"Texas Severe Storms, Straight-line Winds, Tornadoes, and Flooding (DR-4781-TX)","25 inches of rain fell in the area over a few weeks, Repair plans have been submitted - review comments have not been addressed yet.",TX03358,WARSAW CREEK,TCEQ,TCEQ,-1
LOWER EAST FORK LATERALS WS SCS SITE 10 DAM,TX03358-2702,SPILLWAY DAMAGE,-1,-1,TX03358,WARSAW CREEK,TCEQ,TX DEQ,-1
LOWER EAST FORK LATERALS WS SCS SITE 9 DAM,TX03357-3599,spring rains caused head-cutting erosion in the spillway to progress,"Texas Severe Storms, Straight-line Winds, Tornadoes, and Flooding (DR-4781-TX)",-1,TX03357,WARSAW CREEK,TCEQ,TCEQ,-1
LOWER HELL HOLE,CA00000-212,-1,-1,"approx 100 miles east of Sacramento. 200 high section of the embankment failed due to erosion resulting from record rains during construction. 30,000 af flood destroyed 2 suspension bridges and 1 steel girder State highway bridge. $160M in lawsuits filed",CA00000,RUBICON,-1,-1,-1
LOWER IPC DAM,NH00480-3441,Two whirlpools were observed upstream of the TC spillway,-1,Low level gate opened until repairs were made,NH00480,NEWFOUND RIVER,NHDES DAM BUREAU,NHDES DAM BUREAU,-1
LOWER KAUKAUNA,WI00778-3567,"During lock operator training, water levels got higher than normal operation in Kaukauna Lock #3.  A sinkhole formed in the embankment to the right of the canal spillway structure.",-1,-1,WI00778,FOX,-1,WI Dam Safety,-1
LOWER KLONDIKE,PA00751-3176,"OBSERVATION OF NEW, STEADY SEEPAGE AT DOWNSTREAM END OF SPILLWAY & LOW-LEVEL DRAIN PIPE.",-1,PLAN TO COLLECT & MONITOR SEEPAGE REC'D 11/12/10.  NO CURRENT DRAWDOWN.  OUTLET SYSTEM REPAIR NEEDED.,PA00751,LEHIGH RIVER,PENNSYLVANIA DEPARTMENT OF ENVIRONMENTAL PROTECTION,PA Dam Safety,-1
LOWER KLONDIKE,PA00751-3210,"DURING INSPECTION, ENGINEER OBSERVED WATER FLOWING INTO VOID ON UPSTREAM FACE OF EMBANKMENT.",-1,FLOW THROUGH DAM IN EXCESS OF 15 GPM.  DOWNSTREAM TOE WAS SATURATED.,PA00751,LEHIGH RIVER,PENNSYLVANIA DEPARTMENT OF ENVIRONMENTAL PROTECTION,PA Dam Safety,-1
LOWER MEADOWDALE DAM,VA04173-2447,piping failure resulting in partial breach,-1,Damage limited to the dam itself,VA04173,TRIB. FALLING CREEK,DCR,-1,-1
LOWER OTAY,CA00000-206,-1,-1,"Overtopping, Failed on first filling.Inadequate spillway capacity  Fatalities: 30 -",CA00000,-1,-1,-1,-1
Lower Slate Lake Back Dam,AK00320-3593,9/18 a cofferdam protecting AK00320 embankment construction work was overtopped and an partially eroded allowing water to flow freely into the tailings reservoir. Water eroded portions fo the AK00320 construction works. On 10/8 A temporary diversion line failed due to high flows and pressure allowing water to flow freely into the tailings reservoir.,-1,"incident did not involve an uncontrolled release of contact water, but did have impact on the overall site water balance that took about a year to resolve.",AK00320,East Fork Slate Creek,AK DNR,AK DNR,-1
LOWER STEVE CREEK,WI00650-3579,A member of the public noticed seepage occurring through the left earthen embankment near the spillway but not directly adjacent to the outlet pipe. They also noticed that the embankment was sagging/slumping above seepage location.,-1,-1,WI00650,STEVE CREEK,WIDNR,WI Dam Safety,-1
LOWER TWO MEDICINE,MT00000-211,-1,-1,NW MT  Fatalities: 9 -,MT00000,-1,-1,-1,-1
LOWER WILDWOOD LAKE,IN00000-144,-1,-1,The emergency spillway started to breach during a significant rainfall event in June requiring the lowering of the pool level and emergency repairs.,IN00000,-1,-1,-1,-1
LOY LAKE DAM,TX02053-2685,SPILLWAY EROSION,-1,-1,TX02053,LOY CREEK,TCEQ,TX DEQ,-1
LUZERNE LAKE DAM,KY00158-3274,Dam experienced a slide on the downstream slope due to steep slopes and saturated conditions.,-1,-1,KY00158,CANEY CREEK,KY DIVISION OF WATER,KY DNR,-1
LYMAN,AZ00000-204,-1,-1,Fatalities: 8 -,AZ00000,LITTLE COLORADO,-1,-1,-1
Lyons Pond Dam,VT00000-3553,Full failure discovered by post flood rapid inspection team several days after failure.,July 2023 Flood,-1,VT00000,Burndt Meadow Brook,VT DSP,VT Dam Safety,-1
M R TROTTER DAM,SC02473-3036,Heavy rains-as much as 16 inches caused several dams to overtop and fail.,-1,-1,SC02473,-1,SCDHEC,SC DHEC,-1
MACON-034,NC00000-173,-1,-1,"MACON-034  Heavy rains, failure",NC00000,-1,-1,-1,-1
MADER DAM NO 1,NE01099-2844,-1,-1,Dam had an auxiliary spillway but no principal spillway.  Breach was found during routine periodic inspection in October 2014.,NE01099,TR-INDIAN CREEK,NE DNR,NE DNR,-1
MADISON BAPTIST FELLOWSHIP DAM,MS00000-1863,SEEPAGE DUE TO ANIMAL BURROWS.,-1,SEEP WAS REPORTED TO THE COUNTY EMERGENCY MANAGER WHO CONTACTED MDEQ.  IT WAS DETERMINED THAT THE DAM WAS TOO SMALL TO BE A THREAT.  THE COUNTY EMERGENCY MANAGER PUMPED THE LAKE DOWN THE FOLLOWING DAY AS A PRECAUTIONARY MEASURE.,MS00000,-1,MDEQ,-1,-1
MADRONA RANCH LAKE DAM,TX05851-2809,OVERTOPPED,-1,-1,TX05851,RED BLUFF CREEK,TCEQ,TX DEQ,-1
MALVERN DAM,VA113011-3542,Pipe Collapse: The original siphon pipe from the 1970's has failed and about 100 - 150 GPM coming out.,-1,-1,VA113011,TR-DARK RUN,DEPARTMENT OF CONSERVATION AND RECREATION,VA Dam Safety,-1
MAMMOTH DAM,UT00000-205,Dam overtopped scouring away the downstream shell and toppling of the center concrete wall.,-1,"Faulty Construction.  earth-fill over a buttressed concrete core; designed to be heightened in 10-foot steps; by late 1915, its height had reached 67 feet Denver & Rio Grande Railroad, Roads, Bridges, other utilities damaged https://damfailures.org/case-study/mammoth-dam-utah-1917/",UT00000,GOOSEBERRY CREEK,-1,-1,-1
MANITOU,CO00426-2071,new seepage reported - Colorado Flooding of 9-13,-1,-1,CO00426,NORTH FORK FRENCH CREEK,DWR,-1,-1
MANN LAKE DAM,TX05067-2680,"SPILLWAY FAILURE, LAKE DRAINED",-1,-1,TX05067,BRAZOS RIVER,TCEQ,TX DEQ,-1
MAPLE VALLEY LAKE DAM,OH02514-1787,Leak along spillway conduit at joint near outlet,-1,-1,OH02514,TRIBUTARY TO SOUTH FORK SUGAR CREEK,DEPARTMENT OF NATURAL RESOURCES,-1,-1
MARIANO BORO. INTAKE DAM,PA00000-3241,CONCRETE DAM FAILED ON RIGHT ABUTMENT.  EROSION ALONG DAM WAS A THREAT TO ADJACENT STATE ROAD.,-1,"IN 2016 PENNDOT REPAIRED DAM, BUT DOWNSTREAM SLOPE FAILED AGAIN.  BREACH OF DAM IS PENDING AS OF 2018.",PA00000,TENMILE CREEK,PADEP,PA Dam Safety,-1
MARION CITY DAM,KY00133-3521,-1,-1,-1,KY00133,CROOKED CREEK,KY DIVISION OF WATER,KY Dam Safety,-1
Marple,WI12749-3504,"Exact cause unknown, but likely beaver activity clogged spillway leading to embankment failure.",-1,-1,WI12749,-1,WIDNR,WIDNR,-1
MARSTON LAKE - SOUTH DAM,CO02798-3024,Unusual piezometer readings and seepage at the top of the first filling,-1,Unusual piezometer readings and seepage at the top of the first filling of this recently rehabilitated dam.,CO02798,SOUTH PLATTE RIVER-OS,DWR,CO DWR,-1
MARTIN FARM POND DAM,MD00531-3088,"CMP riser plugged with debris triggered flow in emergency. CMP spillway barrel was partially collapsed and deteriorated, downstream embankment eroded away around spillway. Owner removed riser, creating a partial uncontrolled release.",-1,"Owner made excavation in embankment and removed riser, creating a partial uncontrolled release.",MD00531,-1,MD DAM SAFETY,MDE Dam Safety Program,-1
MARTINS CREEK (PA-467),PA00054-3224,"OVERTOPPING IN TROPICAL STORM DAMAGED RIGHT SIDE OF SPILLWAY, TOP OF DAM, AND DOWNSTREAM SLOPE.",TS Lee,DAM OVERTOPPED BY 4 TO 6 INCHES.  EROSION GULLY ON DOWNSTREAM SLOPE WAS 6 FT WIDE AND 4 FT DEEP.,PA00054,TR MARTINS CREEK,PENNSYLVANIA DEPARTMENT OF ENVIRONMENTAL PROTECTION,PA Dam Safety,-1
MARY A. BOHNKE,WY00170-2859,Heavy precipitation and an eroded CMP outlet caused piping overtopping,-1,Heavy precipitation (full reservoir) along with an eroded CMP outlet caused piping and eventual overtopping of the dam.,WY00170,PARADISE CREEK,SEO,Wyoming SEO,-1
MASHBURN MILLPOND DAM (LAKE ALICE),GA02000-1620,Heavy rainfall with report of up to 7 inches.  The breach occurred in the center of the dam and included the principal spillway pipe.,-1,Damage to a downstream road & sediment released into Lake Lanier,GA02000,LITTLE RIDGE CREEK,GA-SAFE DAMS PROGRAM,-1,Y
MASSEYS MILL POND DAM,DE00029-1203,Overtopping caused failure of a training wall in the downstream channel and minor erosion in a few areas at top of downstream embankment along edge of road.  No emergency repairs were necessary.,Irene,"Dam overtopped before daylight on 8/28/2011; depth of flow and length of time are unknown.  Masseys Mill Pond Dam is directly upstream from Garrisons Lake Dam, and overtopping flow from Masseys most likely contributed to Garrisons overtopping.",DE00029,LEIPSIC RIVER,-1,-1,-1
MAURY DAM,VA700004-3395,Sinkhole reported and subsequently repaired,-1,-1,VA700004,TR-JAMES RIVER,DEPARTMENT OF CONSERVATION AND RECREATION,VA Dam Safety,-1
MAXWELL MILL POND,NC01156-2977,breached; discharge from spillway and possible overtopping caused severe damage to bridge abutments just downstream from dam,Matthew,-1,NC01156,MAXWELL CREEK,NCDENR,NCDEQ,-1
MAYWOOD SUBDIVISION -  SHAHKOKA DAM,MS01512-2947,-1,-1,THE DAM HAS A VERY LARGE DRAINAGE AREA COMPARED TO THE DAM. THEREFORE THE PROBABILITY OF THIS INCIDENT OCCURING AGAIN IS HIGHLY LIKELY. THE AREA THAT SEVERELY HEAD CUTTED BACK IN THE CENTER SECTION OF THE DAM WILL NEED SOME FORM OF PROTECTION OTHERWISE IT,MS01512,CAMP CREEK,MS Dept. of Environmental Quality,MS DEQ,-1
MCBRIDE LAKE DAM,OH02381-3073,Wet area and crack on crest.,-1,-1,OH02381,MCBRIDE RUN,DEPARTMENT OF NATURAL RESOURCES,OH DNR,-1
MCCARTY LAKE DAM,TX03117-2816,OVERTOPPED,-1,-1,TX03117,SALT PRONG HUBBARD CREEK,TCEQ,TX DEQ,-1
MCCLOUD,CA00416-3517,"Cracked weld observed on 30-inch bypass pipeline - bypass branches off from 7-ft downstream of low level outlet; controlled by 30"" butterfly valve guard gate and 24"" Howell bunger valve. Crack is ~20"" length, from 2 to 5 o'clock, u/s of guard valve flange. Spray of pressurized water from crack.",-1,-1,CA00416,MCCLOUD RIVER,"DWR, SAFETY OF DAMS",CA DSOD,-1
MCCOLL POND DAM,SC02311-3125,"Dam had evidence of overtopping along with a complete breach in the center. The owner had not been to the dam in a couple of years and did not know for certain the breach occured due to Hurricane Florence, but believes it did.",Hurricane Florence,Report on dam failures associated with Hurricane Florence to be released by Geotechnical Extreme Event Reconnaisance (GEER) group at some point in the future. GEER team field work occurred during month of September 2018.,SC02311,TR-LITTLE PEE DEE RIVER,SC DHEC,SC Dam Safety,-1
MCCRAY LAKE DAM,SC01429-3042,Heavy rains-as much as 16 inches caused several dams to overtop and fail.,-1,-1,SC01429,-1,SCDHEC,SC DHEC,-1
MCDILL,WI00176-1330,Depression was noted in downstream embankment adjacent to the outlet structure. Die testing showed evidence of piping through embankment.  Drawdown was initiated.,-1,Temporary closure of County Highway over dam,WI00176,PLOVER,WIDNR,-1,Y
McDonald Farm Dam,TN00000-3510,Abandoned spillway conduit failed.  Seepage around concrete plug and internal erosion led to significant subsidence on the crest and upstream slope.,-1,Safe Dams program became aware of dam in 2022 after property was purchased by Hamilton County.  GeoSyntec had been hired to look at rehabilitation options.,TN00000,-1,-1,TN Safe Dams,Y
MCGREGOR DAM,NY00614-1318,"Peak flow was 4 ft over tertiary spillway.  High flows scoured 6"" to 12' of the sandstone bedrock at the base of the dam due to the impact of the spillway flow.  Continued minor scouring beneath a number of concrete splash aprons.  Hurricane Irene",Irene,Two people killed when car drove over washed out highway culvert downstream of the dam.,NY00614,CHAZY RIVER,NYS DEC,-1,-1
MCGUIRE LAKE DAM,TX02134-2732,OVERTOPPING,-1,-1,TX02134,LITTLE PIN OAK CREEK,N,TX DEQ,-1
MCIVER DAM,VA065006-3546,"Partial Failure: RE visited site to observe the reported refilling of the lake (previously dam was not holding water based on all accounts and historical google earth imaging). RE noted that the dam was in extremely poor condition and the water level has receded very little since the owner engineer visited on 3/18/22. Significant sloughing into the crest near where the outlet works would have been, sloughing on downstream toe at outfall. Approximately 20' was outfill pipe was exposed and disconnected. Significant flow was exiting and around the outfall, muddy. Evidence that the emergency spillway had been activiated recently with significant erosion on the downstream embankment in the area of the emergency spillway. Dam is covered with mature trees. Widespread evidence of beaver activity.",-1,-1,VA065006,SPRING GARDEN CREEK,DEPARTMENT OF CONSERVATION AND RECREATION,VA Dam Safety,-1
MCIVER DAM,VA065006-3495,-1,-1,-1,VA065006,SPRING GARDEN CREEK,DEPARTMENT OF CONSERVATION AND RECREATION,DEPARTMENT OF CONSERVATION AND RECREATION,-1
MCLAURINS MILLPOND DAM,SC00637-3119,State Dam Safety personnel visited the dam on 9/17/2018 and found the dam was completely breached and that the primary spillway was partially obstructed with weeds and vegetation.,Hurricane Florence,Report on dam failures associated with Hurricane Florence to be released by Geotechnical Extreme Event Reconnaisance (GEER) group at some point in the future. GEER team field work occurred during month of September 2018.,SC00637,NAKED CREEK,SC DHEC,SC Dam Safety,-1
MCLEAD FLOOD CONTROL DAM,NM00343-3529,Overtopped in Aug 2022 causing erosion of downstream slope but did not breach.,-1,-1,NM00343,MCLEOD & BROADHURST ARROYO,OFFICE OF THE STATE ENGINEER,NM Dam Safety,-1
MCLEAN COUNTY FISH & GAME CLUB LAKE,KY00470-3107,-1,-1,-1,KY00470,LONG FORK CREEK,KY DIVISION OF WATER,-1,-1
MCMAHON,CA00701-1900,"Sudden closure d/s valve while u/s valve was open, the hydraulic pressure caused an 8-inch section of PVC pipe to rupture.",-1,"An 8-inch diameter TEE of of the main outlet pipe ruptures while attempting to close the d/s butterfly valve.  Small uncontrolled release, no other significant damage",CA00701,MAXWELL CREEK,Division of Safety of Dams,-1,-1
MCMEEKIN POND DAM,SC02073-3124,Dam had evidence of overtopping along with a complete breach to the left of the primary spillway.  Erosion occured on both sides of primary spillway.,Hurricane Florence,Report on dam failures associated with Hurricane Florence to be released by Geotechnical Extreme Event Reconnaisance (GEER) group at some point in the future. GEER team field work occurred during month of September 2018.,SC02073,WOLF CREEK,SC DHEC,SC Dam Safety,-1
MCRAE DAM,TX00135-2820,OVERTOPPED,-1,-1,TX00135,MCRAE CREEK,TCEQ,TX DEQ,-1
MEADOW LAKE,CO02717-2086,failed 1:40 pm 9/12 - Colorado Flooding of 9-13,-1,-1,CO02717,W FORK LITTLE THOMPSON,DWR,-1,-1
MEADOW LAKE DAM,NH00519-3440,Corroded CMP riser and outlet created sinkhole around the riser  and into the embankment. Corroded low-level outlet pipe with increased seepage.,-1,-1,NH00519,LAMPREY RIVER,NHDES DAM BUREAU,NHDES DAM BUREAU,-1
MEADOW WOOD LAKE NO 3 DAM,TX06890-2726,PIPING,-1,-1,TX06890,TR-BACHELOR CREEK,TCEQ,TX DEQ,-1
MEADOWS LAKES EAST LAKE DAM,TX05790-2802,SPWY FAILED,-1,-1,TX05790,TR-BIG FOSSIL CREEK,TCEQ,TX DEQ,-1
MELZINGAH,NY00000-104,-1,-1,Fatalities: 7 -,NY00000,-1,-1,-1,-1
MENASHA DAM,WI00814-3575,Seepage found at left embankment.  Excavated to find source and hit some of the original timber crib/rock.  Installed temporary seepage collection system.,-1,-1,WI00814,FOX,-1,WI Dam Safety,-1
MENNO DAM,SD00026-3408,Secondary spillway experienced significant heading cutting when it operated during both April and August of 2019. Erosion related to livestock grazing on the spillway likely contributed to the development of the issue.,-1,-1,SD00026,JAMES RIVER TRIBUTARY,DENR,SD Dam Safety,-1
MENNO DAM,SD00026-3415,"Heavy rainfall on the evening of June 11, 1984 along with high reservoir levels from heavy rain in the days prior caused the dam to overtop and fail.",-1,"The hog barn and approximately 450 hogs, farmstead buildings, and farm equipment associated with the downstream farm house.  There was a court case over damages (Heer vs the State of South Dakota) that made it to the South Dakota Supreme Court which awarded the Heers approximately $650,000 in damages. Dam was reconstructed about 400 feet downstream of original dam site -ground breaking April 1995, dedication June 1996, and first flow through spillway March 1997.",SD00026,JAMES RIVER TRIBUTARY,DENR,SD Dam Safety,-1
